Item type|ENTRYTYPE|ID|Author|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|14|Ndofor HA,Wesley C,Priem RL|Providing CEOs With Opportunities to Cheat: The Effects of Complexity-Based Information Asymmetries on Financial Reporting Fraud|Journal of Management|Q1|261|2015|41|6|1774-1797|SAGE Publications Inc.||2015|||0149-2063|http://dx.doi.org/10.1177/0149206312471395|10.1177/0149206312471395|Opportunities for financial reporting fraud arise because of information asymmetries—often labeled “lack of transparency”—between top managers and their diverse shareholders. We evaluate the relative contributions of information asymmetries arising from industry-level and firm-level complexities to the likelihood of top managers committing financial reporting fraud. Using a sample of 453 matched pairs of firms that have and have not been identified as having committed financial reporting fraud, we found that information asymmetries arising from industry- and firm-level complexities increase the likelihood of financial fraud. Moreover, more CEO stock options increase the likelihood of fraud when industry complexity is high, while aggressive monitoring by the audit committee reduces the likelihood of reporting fraud when firm-level complexity is high. © 2013, © The Author(s) 2013.||cited By 51|Texas A&M University, United States; Indiana University, United States; Texas Christian University, United States; LUISS Guido Carli University, Italy|English|
Journal Article|article|15|Varghese J,Krogman NT,Beckley TM,Nadeau S|Critical analysis of the relationship between local ownership and community resiliency|Rural Sociology|Q1|76|2006|71|3|505-527|Rural Sociological Society||2006|||0036-0112|http://dx.doi.org/10.1526/003601106778070653|10.1526/003601106778070653|Collectively, current resource-development literature has given little attention to organizational features of ownership as important variables in community resilience. By drawing from six local buyout cases in Canada's forest sector, we reveal the complexity and numerous constraints on local ownership and expose a more nuanced context than most sociologists tend to consider. Our findings suggest that the meaning of local ownership and community resilience varies depending upon the composition (e.g., private vs. public; mill vs. forest license vs. coupled mill & forest license), type (social, cooperative, trust and/or direct-share ownership), extent of ownership (percentage of local versus extra-local shares), and the level of control (e.g., proportion of locally held seats on the Board of Directors) associated with ownership. Future research on local ownership should more carefully differentiate between the nature of local ownership and its associated outcomes. Copyright © 2006 by the Rural Sociological Society.|community organization; community resource management; community response; ownership; rural society, Canada; North America|cited By 42|Guelph Water Management Group, Department of Geography, University of Guelph, Guelph, ON, Canada; Department of Rural Economy, University of Alberta, 5-15 General Services Building, Edmonton, AB T6G 2H1, Canada; Faculty of Forestry and Environment, University of New Brunswick, Fredericton, NB, Canada; Natural Resources Canada, Atlantic Forestry Center, Canadian Forest Service, Canada|English|
Journal Article|article|16|de Andrés-Alonso P,Azofra-Palenzuela V,Romero-Merino ME|Determinants of nonprofit board size and composition: The case of Spanish foundations|Nonprofit and Voluntary Sector Quarterly|Q1|96|2009|38|5|784-809|SAGE Publications Inc.||2009|||0899-7640|http://dx.doi.org/10.1177/0899764008320501|10.1177/0899764008320501|Recently, many empirical studies have examined the determinants of corporate boards of directors. Using an agency theory framework, the authors explain how nonprofit boards are structured. Although nonprofits cannot disburse profits to their contributors, the role played by their boards of trustees in monitoring and advising managers is analogous to that of corporate boards of directors. Using a sample of Spanish foundations, the authors show that nonprofit board determinants, such as organizational complexity and financing structure, are similar in many ways to those of corporate boards. However, nonprofit age illustrates the different natures of these organizations and their voluntary boards. © 2009 SAGE Publications.||cited By 40|University of Valladolid, Spain; European University Miguel de Cervantes, Spain|English|
Journal Article|article|17|Johnson S,Schnatterly K,Bolton JF,Tuggle C|Antecedents of new director social capital|Journal of Management Studies|Q1|206|2011|48|8|1782-1803|||2011|||0022-2380|http://dx.doi.org/10.1111/j.1467-6486.2011.01020.x|10.1111/j.1467-6486.2011.01020.x|Prior research shows that firms benefit from the social capital of their boards of directors but has not explored the antecedents of new director social capital. We argue that firms can attract directors with social capital by offering more compensation. We also argue that more complex firms (firms with a greater scale and scope of operations) are more attractive to such directors because of the greater experience and exposure that such directorships provide. Similarly, we argue that firms with high- status directors on their current boards will be more attractive to directors with social capital. We analyse the social capital of new outside directors added to boards of semiconductor firms between 1993 and 2007. Surprisingly, we find no support for the hypothesis that higher compensation is associated with adding directors with high status or board ties. However, firm complexity is associated with the ability to add new directors who have social capital, and the status of current board members is associated with the ability to add new directors who also have high status. © 2011 The Authors. Journal of Management Studies © 2011 Blackwell Publishing Ltd and Society for the Advancement of Management Studies.||cited By 39|Oklahoma State University, United States; University of Missouri, United States; Southeast Missouri State University, United States|English|
Journal Article|article|18|Reeb D,Upadhyay A|Subordinate board structures|Journal of Corporate Finance|Q1|120|2010|16|4|469-486|||2010|||0929-1199|http://dx.doi.org/10.1016/j.jcorpfin.2010.04.005|10.1016/j.jcorpfin.2010.04.005|The board of directors is a flat governance structure where each director has an equal vote in determining the collective actions taken by the group. Yet, some boards choose to delegate authority for specific tasks to numerous committees, while others choose to create relatively few subcommittees of the board. We investigate the determinants of subordinate board structures, exploring both their benefits and costs. Using a sample of the S&P 1500 we find that subordinate board structures are positively related to board size and the proportion of outside directors, even after controlling firm characteristics such as complexity and ownership structure. Further tests indicate that these board structures can offset the negative associations that board size and the proportion of outsiders can have with firm performance. Yet, in firms with relatively small or insider oriented boards, where co- ordination problems among directors or social loafing may be less pronounced, we find that subordinate board structures are negatively related to firm performance. Categorizing committees as either monitoring or advisory, we find that both types of committees appear related to firm performance. Taken as whole, these results are consistent with the idea that subordinate board structures can be a costly remedy to alleviate problems that arise with larger, more outsider dominated boards. © 2010 Elsevier B.V.||cited By 39|Temple University, United States; University of Alaska Anchorage, United States|English|
Journal Article|article|19|Dwekat A,Seguí-Mas E,Tormo-Carbó G,Carmona P|Corporate Governance Configurations and Corporate Social Responsibility Disclosure: Qualitative Comparative Analysis of Audit Committee and Board characteristics|Corporate Social Responsibility and Environmental Management|Q1|96|2020|27|6|2879-2892|John Wiley and Sons Ltd||2020|||1535-3958|http://dx.doi.org/10.1002/csr.2009|10.1002/csr.2009|Drawing on the complexity theory and responding to the recent calls to use such creative methods that mix between a quantitative and qualitative approach. Therefore, this study fills the literature gap, adding novelties, showing evidence from the unexplored (or underexplored) European context and, consequently, shedding light to inconclusive results in previous research concerning the effect of audit committee (AC) and board characteristics on corporate social responsibility (CSR) disclosure by applying a novel research methodology: the fuzzy set qualitative comparative analysis. The data were collected from Eikon database for a sample of the top 69 non-financial European companies (based on market capitalisation) for the period 2016–2018. The study results support the equifinality and complexity tenets of complexity theory. It also suggests that CSR disclosure relies on a complex configuration of some AC attributes, for example, independence, financial expert member, chair independence, size and activity, and other board characteristics (independence, gender, size, activity, and Chief Executive Officer (CEO) duality). These characteristics play a leading part as a recipe ingredient and, in an appropriate combination, promote achieving high CSR disclosure levels. Our empirical results offer multidimensional and valuable insights for professionals, regulators, and policymakers in establishing and revising the guidelines regarding the AC and board of directors' composition. © 2020 ERP Environment and John Wiley & Sons Ltd.||cited By 37|Universitat Politècnica de València, València, Spain; Department of Accounting, An-Najah National University, Nablus, Palestine; CEGEA, Business Management Research Centre, Universitat Politècnica de València, València, Spain; Accounting Department, Universitat de València, València, Spain|English|
Journal Article|article|20|Luciano MM,Nahrgang JD,Shropshire C|Strategic leadership systems: Viewing top management teams and boards of directors from a multiteam systems perspective|Academy of Management Review|Q1|293|2020|45|3|675-701|Academy of Management||2020|||0363-7425|http://dx.doi.org/10.5465/AMR.2017.0485|10.5465/AMR.2017.0485|Top management teams (TMTs) and boards of directors (boards) face increasingly turbulent environments as they strategically lead firms toward superior firm performance. The dominant theoretical lens about these two groups is agency theory, which focuses on the need for independence. We suggest that the environment in which the TMT and board govern is broader than conceptualized by agency theory, and thus theories regarding strategic leadership also require expansion. Drawing from the multiteam systems literature and broader systems theory, we offer a new consideration of the TMT and board as part of a strategic-oriented multiteam system, which we refer to as a strategic leadership system. The core premise of our theorizing is that TMTs and boards that strongly emphasize attention to both working independently and interdependently enhance their group and shared task performance, and in turn, firm performance. We further nuance this theorizing by describing how external environmental characteristics (i.e., munificence, complexity, dynamism) strengthen or weaken the influence of attention to working independently or interdependently, thereby shifting the zones of system effectiveness. Based on this theorizing, we offer a 2 3 2 framework combined with practical recommendations for strategic leaders. Additional implications, limitations, and directions for future research are discussed. © 2020 Academy of Management Review.||cited By 33|Arizona State University, United States|English|
Journal Article|article|21|Ford-Eickhoff K,Plowman DA,McDaniel Jr RR|Hospital boards and hospital strategic focus: The impact of board involvement in strategic decision making|Health Care Management Review|Q1|63|2011|36|2|145-154|||2011|||0361-6274|http://dx.doi.org/10.1097/HMR.0b013e3182099f6e|10.1097/HMR.0b013e3182099f6e|"Background: Despite pressures to change the role of hospital boards, hospitals have made few changes in board composition or director selection criteria. Hospital boards have often continued to operate in their traditional roles as either ""monitors"" or ""advisors."" More attention to the direct involvement of hospital boards in the strategic decision-making process of the organizations they serve, the timing and circumstances under which board involvement occurs, and the board composition that enhances their abilities to participate fully is needed. Purposes: We investigated the relationship between broader expertise among hospital board members, board involvement in the stages of strategic decision making, and the hospital's strategic focus. Methodology/Approach: We surveyed top management team members of 72 nonacademic hospitals to explore the participation of critical stakeholder groups such as the board of directors in the strategic decision-making process. We used hierarchical regression analysis to explore our hypotheses that there is a relationship between both the nature and involvement of the board and the hospital's strategic orientation. Findings: Hospitals with broader expertise on their boards reported an external focus. For some of their externally- oriented goals, hospitals also reported that their boards were involved earlier in the stages of decision making. Practice Implications: In light of the complex and dynamic environment of hospitals today, those charged with developing hospital boards should match the variety in the external issues that the hospital faces with more variety in board makeup. By developing a board with greater breadth of expertise, the hospital responds to its complex environment by absorbing that complexity, enabling a greater potential for sensemaking and learning. Rather than acting only as monitors and advisors, boards impact their hospitals' strategic focus through their participation in the strategic decision-making process. Copyright © 2011 Wolters Kluwer Health | Lippincott Williams & Wilkins."|article; board of trustees; hospital management; information processing; organization; professional standard; United States, Data Collection; Decision Making, Organizational; Governing Board; Hospital Administration; Organizational Objectives; Professional Role; United States|cited By 32|College of Business Administration, University of Tennessee, Knoxville, United States; College of Business, University of Nebraska-Lincoln, United States; Health Care Management, McCombs School of Business, University of Texas at Austin, United States|English|
Journal Article|article|22|Brennan NM,Kirwan CE|Audit committees: Practices, practitioners and praxis of governance|Accounting, Auditing and Accountability Journal|Q1|112|2015|28|4|466-493|Emerald Group Publishing Ltd.||2015|||0951-3574|http://dx.doi.org/10.1108/AAAJ-01-2015-1925|10.1108/AAAJ-01-2015-1925|Purpose – The purpose of this paper is to review and critique prior research on audit committees using a practice-theory lens. Research on audit committees has followed the same trajectory as early research on boards of directors, which has been criticised for its singular theoretical perspectives and methodologies that do not capture the complexity of real-world experiences/behaviours. Design/methodology/approach – The authors devise an analytical framework based on practice theory to conduct the review. The authors examine what audit committees should do (i.e. best practice) vs what audit committees actually do (i.e. actual activities in practice – praxis). Attributes of audit committee members, and the relationship dynamics relevant to their role execution (i.e. practitioners), are considered. Findings – Research on boards has found that over-emphasis on agency theory’s monitoring role negatively impacts boards’ effectiveness. The authors invoke other theories in examining what audit committees do in practice. The authors characterise the role of audit committees as oversight not monitoring. The authors question whether, similar to auditing, audit committees are blamist tools or are genuinely orientated towards supporting improvements in organisational management systems. The authors unpack the ritualistic ceremonial behaviours and symbolic endeavours vs substantive engagement by audit committees. The analytical framework also considers the “guardianship circle” around audit committees in the form of the key practitioners and their relationships: audit committee members, auditors and managers. Originality/value – Drawing on the analytical framework, the authors provide directions for further opportunities for research of audit committees. © Emerald Group Publishing Limited.||cited By 31|Department of Accountancy, University College Dublin, Dublin, Ireland; School of Business, University College Dublin, Dublin, Ireland|English|
Journal Article|article|23|Michelon G,Bozzolan S,Beretta S|Board monitoring and internal control system disclosure in different regulatory environments|Journal of Applied Accounting Research|Q1|31|2015|16|1|138-164|Emerald Group Holdings Ltd.||2015|||0967-5426|http://dx.doi.org/10.1108/JAAR-03-2012-0018|10.1108/JAAR-03-2012-0018|Purpose - The purpose of this paper is to investigate two research questions. Is internal control system (ICS) disclosure, as a monitoring mechanism, associated with the characteristics of the board of directors, particularly the audit committee as the main board committee devoted to the effectiveness of ICS? Does the regulatory environment, particularly the regulation on ICS disclosure as an external governance/monitoring mechanism play a role in shaping the relationship between board monitoring and ICS disclosure and, if so, how? Design/methodology/approach - The authors study the ICS disclosure of 149 companies listed in four European financial markets (London, Paris, Frankfurt and Milan), each with its own regulations about ICS disclosure, during a six-year period (2003-2008). Findings - The findings support an inverse association between the extent of ICS disclosure and the proxies for board monitoring. The authors also find a statistically significant negative relationship between board monitoring and substantial ICS disclosure but no relationship between board monitoring and formal ICS disclosure. The evidence also shows that the regulatory environment moderates the relationship between board monitoring and ICS disclosure by introducing trade- offs among monitoring mechanisms. Research limitations/implications - An important caveat of the research is that it does not explore if and how investors use ICS disclosure to evaluate the firm. Practical implications - The authors propose a framework for the analysis of ICS disclosure that overcomes limitations of previous literature that has neglected the importance of the content beyond the extent of ICS disclosure. Through this framework researchers, practitioners and standard setters are able to separate merely descriptive, formal un- useful disclosure (boilerplate information) on the composing elements of the ICS from substantial disclosure regarding the functioning of the ICS (monitoring function). Originality/value - The authors also provide evidence that the relationship between board monitoring and ICS disclosure varies with the content of the information communicated, thus offering guidance for future research not to focus on measuring the extent or quantity of disclosure but on the variety and complexity of the information communicated. © 2015 Emerald Group Publishing Limited.||cited By 27|Deptartment of Accounting, University of Exeter, Exeter, United Kingdom; Department of Business and Management, LUISS University, Rome, Italy; Accounting Department, Università Bocconi, Milan, Italy|English|
Journal Article|article|24|Bezemer PJ,Peij S,de Kruijs L,Maassen G|How two-tier boards can be more effective|Corporate Governance (Bingley)|Q1|72|2014|14|1|15-31|||2014|||1472-0701|http://dx.doi.org/10.1108/CG-02-2013-0018|10.1108/CG-02-2013-0018|"Purpose: This study seeks to explore how non- executive directors address governance problems on Dutch two-tier boards. Within this board model, challenges might be particularly difficult to address due to the formal separation of management boards' decision-management from supervisory boards' decision-control roles. Design/methodology/approach: Semi-structured interviews and a questionnaire among non-executive directors provide unique insights into three major challenges in the boardrooms of two-tier boards in The Netherlands. Findings: The study indicates that non-executive directors mainly experience challenges in three areas: the ability to ask management critical questions, information asymmetries between the management and supervisory boards and the management of the relationship between individual executive and non-executive directors. The qualitative in-depth analysis reveals the complexity of the contributing factors to problems in the boardroom and the range of process and social interventions non-executive directors use to address boardroom issues with management and the organization of the board. Practical implications: While policy makers have been largely occupied with the ""right"" board composition, the results highlight the importance of adequately addressing operational challenges in the boardroom. The results emphasize the importance of a better understanding of board processes and the need of non-executive directors to carefully manage relationships in and around the boardroom. Originality/value: Whereas most studies have focussed on regulatory initiatives to improve the functioning of boards (e.g. the independence of the board), this study explores how non-executive directors attempt to enhance the effectiveness of boards on which they serve. © Emerald Group Publishing Limited."||cited By 27|Queensland University of Technology, School of Accountancy, Brisbane, Australia; Inholland University, Lectorate Boards and Governance, Rotterdam, Netherlands; VU University Amsterdam, Amsterdam, Netherlands; USAID/ACED, Aqaba, Jordan|English|
Journal Article|article|25|Klijn E,Reuer JJ,Van den Bosch FA,Volberda HW|Performance Implications of IJV Boards: A Contingency Perspective|Journal of Management Studies|Q1|206|2013|50|7|1245-1266|||2013|||0022-2380|http://dx.doi.org/10.1111/joms.12054|10.1111/joms.12054|This study draws from the corporate governance literature to investigate the implications of board involvement for international joint ventures (IJVs). We extend recent corporate governance research on the value of board involvement by investigating unique sources of complexity related to the nature of the IJV. We argue and find that board involvement can enhance the performance of IJVs, particularly for collaborations that are complex in nature due to their broad functional scope as well the level of market overlap between IJV parents. We complement recent research on joint venture control that has focused on the antecedents and types of control, as well as studies on formal (e.g. contractual safeguards and monitoring) and informal governance mechanisms (e.g. trust) by providing empirical evidence that IJV board involvement is valuable when directors undertake their control and coordination responsibilities. We advance corporate governance research by providing evidence that joint ventures possess several unique characteristics that shape the value of board involvement, thereby showing that applications of corporate governance theory to joint ventures are useful, but should be made with care. © 2013 John Wiley & Sons Ltd and Society for the Advancement of Management Studies.||cited By 26|Vrije Universiteit Amsterdam, Netherlands; Purdue University, United States; Erasmus University Rotterdam, Netherlands|English|
