keywords;count;
TIME-OF-USE TARIFFS;1;
REINFORCEMENT LEARNING;44;
SCIENTIFIC SOFTWARE;1;
ENSEMBLE LEARNING;4;
NAMED ENTITY RECOGNITION;1;
BIOINFORMATICS;2;
GENERAL PUBLIC;11;
DRUGS/PHARMACEUTICALS;1;
MPRGP;1;
ACTIVE SET;2;
EXPANSION STEP;1;
QUADRATIC PROGRAMMING;3;
PERMON;1;
PROCESS SAFETY;2;
RISK;2;
COLOMBIA;1;
EVIDENCE-BASED MEDICINE;1;
MEDICAL;9;
EVALUATION;9;
FIRST-YEAR UNDERGRADUATE/GENERAL;11;
SECOND-YEARUNDERGRADUATE;2;
UPPER-DIVISION UNDERGRADUATE;19;
INTERDISCIPLINARY/MULTIDISCIPLINARY;9;
PUBLIC UNDERSTANDING/OUTREACH;6;
MULTIMEDIA-BASED LEARNING;1;
APPLICATIONS OF CHEMISTRY;4;
LEARNING THEORIES;5;
FINANCIAL EXPERT SYSTEM;1;
INTERVAL TIME -SERIES FORECASTING;1;
STOCK INDEXFORECASTING;1;
CONSTRUCTION COMPANY;1;
PARAMETER -FREE METAHEURISTICALGORITHM;1;
MULTI -OUTPUT MACHINE LEARNING;1;
INVESTMENT EVALUATIONSTRATEGY;1;
MUSCULOSKELETAL HEALTH;1;
MULTI-MEDIA;1;
INTERACTIVE LEARNING;2;
LEARNING PROCESS ANALYSIS;1;
DATA MINING;12;
XAPI;1;
SEQUENTIAL PATTERN MINING;1;
LAG SEQUENTIAL ANALYSIS;1;
WEB-BASED INQUIRY LEARNING;1;
MOBILITY MANAGEMENT;1;
DYNAMIC PROGRAMMING;14;
DEEP Q-NETWORK;2;
COOPERATIVETRANSMISSION;1;
GRADUATE EDUCATION;6;
RESEARCH;3;
INTERDISCIPLINARY;3;
MULTIDISCIPLINARY;3;
ANALYTICAL CHEMISTRY;4;
TESTING;4;
ASSESSMENT;27;
AGRICULTURAL CHEMISTRY;2;
LABORATORY INSTRUCTION;9;
HANDS-ON LEARNING;3;
MANIPULATIVES;1;
GREENCHEMISTRY;1;
HIGH SCHOOL;3;
INTRODUCTORY CHEMISTRY;1;
PUBLICUNDERSTANDING;1;
OUTREACH;2;
MINORITIES IN CHEMISTRY;6;
STUDENT-CENTEREDLEARNING;3;
FLIPPED CLASSROOM;12;
LEARNING MANAGEMENT SYSTEMS;1;
ONLINE BEHAVIORALENGAGEMENT;1;
EXPLORATORY FACTOR ANALYSIS;3;
MULTIPLE LINEAR REGRESSION;1;
DATA COLLECTION;3;
SYMMETRIC MATRICES;2;
LINEAR SYSTEMS;2;
CONTROL DESIGN;1;
OPTIMAL CONTROL;19;
MATHEMATICAL MODELS;4;
DATA-DRIVENDESIGN;1;
LINEAR MATRIXINEQUALITY (LMI);1;
LINEAR TIME-INVARIANT (LTI)SYSTEM;1;
OFFICE BUILDINGS;1;
ELECTRICITY CONSUMPTION OPTIMIZATION;1;
BATTERYMANAGEMENT;1;
ADAPTIVE DYNAMIC PROGRAMMING;6;
NEURALNETWORKS;1;
COMPUTER SECURITY EDUCATION;1;
CRYPTOGRAPHIC ALGORITHMS;1;
PRACTICALENGINEERING EDUCATION;1;
TEACHING;100;
LEARNING STRATEGIES;24;
X-509 CERTIFICATES;1;
INTERNATIONAL STUDENT;1;
CULTURAL DIVERSITY;3;
NURSING;20;
QUALITY IMPROVEMENT;7;
CONTINUING MEDICAL EDUCATION;3;
CURRICULUMDEVELOPMENT;3;
ACTIVE LEARNING;35;
FACULTY;8;
SIMULATION-BASED MEDICAL EDUCATION;2;
TPACK;2;
EDUCATIONAL TECHNOLOGY;8;
IMPROVING CLASSROOM TEACHING;25;
SIMULATIONS;4;
LEARNINGSTRATEGIES;2;
INTELLIGENT TUTORING SYSTEMS;2;
ANTI-FAT ATTITUDES;1;
HEALTH-RELATED EXERCISE;1;
GROSS ANATOMY EDUCATION;18;
UNDERGRADUATE EDUCATION;10;
ANATOMY AND PHYSIOLOGYCOURSE;1;
A\&P;1;
VARK;1;
SCIENCE EDUCATION;6;
TIMEMANAGEMENT;1;
LEARNING STYLES;2;
CONCEPTIONS OF LEARNING;1;
POSTGRADUATE MASTER STUDENTS;1;
HEALTH SCIENCES;2;
MATERIAL HANDLING;1;
MIXED-MODEL ASSEMBLY LINES;1;
IMPROVED STATIC KITTINGSTRATEGY;1;
LINE-INTEGRATED SUPERMARKETS;1;
SCHEDULING;4;
MALWARE;3;
MICROARCHITECTURE;1;
HARDWARE;3;
INTRUSION DETECTION;1;
SECURITY;4;
FEATURE EXTRACTION;11;
PROGRAM PROCESSORS;2;
EXPLAINABLE MACHINE LEARNING(ML);1;
HARDWARE PERFORMANCE COUNTERS (HPCS);1;
SYSTEM SECURITY;1;
APPROXIMATE DYNAMIC PROGRAMMING (ADP);2;
BAUM-WELCH ALGORITHM;1;
HIDDEN MODEMARKOV DECISION PROCESS (HM-MDP);1;
INCREMENTAL PRUNING (IP);1;
Q-LEARNING;7;
SMART HOME;3;
KEYWORDS;1;
OUT-OF-SCHOOL TIME;1;
STAFF TRAINING;1;
SUMMER PROGRAM;1;
ASSESSMENTS;1;
TEACHER-CENTERED LEARNING;1;
STUDENT-CENTERED LEARNING;11;
HIGHER ORDER THINKING SKILLS;3;
ROBOTICS;7;
PRESERVICE TEACHERS;3;
SELF-EFFICACY;13;
COMPUTATIONAL THINKING;17;
PRACTICE BASED LEARNING AND IMPROVEMENT;1;
PROFESSIONALISM;7;
GRADUATEMEDICAL EDUCATION;1;
WELLBEING;3;
COACHING;8;
INDIVIDUALIZED LEARNING PLANS;2;
MEDICAL EDUCATION-POSTGRADUATE;1;
CONTINUING PROFESSIONAL DEVELOPMENT;5;
ORGANIZATIONAL BEHAVIOR;1;
SOCIAL SCIENCE;1;
SELF-LEADERSHIP;1;
LEARNED RESOURCEFULNESS;1;
NURSING STUDENTS;24;
MIDWIFERYSTUDENTS;1;
CONTINUING PROFESSIONAL EDUCATION;1;
LIVED EXPERIENCE;1;
NURSES;5;
QUALITATIVESTUDY;1;
GRADUATE EDUCATION/RESEARCH;11;
COMMUNICATION/WRITING;5;
PROBLEMSOLVING/DECISION MAKING;3;
CONSTRUCTIVISM;5;
ETHICS;4;
PROTOTYPE;1;
DIDACTIC;2;
COLLISION;1;
LABVIEW;2;
END-OF-LIFE CARE;1;
MEDICAL STUDENT EDUCATION;2;
CURRICULUM DEVELOPMENT;9;
PALLIATIVE CARE;1;
CLINICAL LEARNING ENVIRONMENT;3;
MEDICAL STUDENT MISTREATMENT;1;
INSTITUTIONAL LEADERSHIP;1;
POLYMER CHEMISTRY;1;
UNDERGRADUATERESEARCH;2;
INQUIRY-BASED/DISCOVERY LEARNING;11;
SECOND-YEAR UNDERGRADUATE;7;
SPECTROSCOPY;3;
PHARMACY;5;
QUALITATIVE METHODS;2;
ARTIFACTS;1;
PRACTICES;1;
HEAD START PROGRAM;1;
PRESCHOOL CHILDREN;1;
POLICY;4;
QUALITATIVERESEARCH;1;
HUMAN-COMPUTER INTERFACE;4;
INTERACTIVE LEARNING ENVIRONMENTS;13;
TEACHING/LEARNING STRATEGIES;37;
EVALUATION OF CAL SYSTEMS;3;
ADMISSION CONTROL;1;
APPROXIMATE DYNAMIC PROGRAMMING;3;
ROUTING ALGORITHM;1;
SOFTWARE-DEFINED NETWORKING (SDN);1;
VIDEO STREAMING SERVICE;1;
LINEAR PROGRAMMING;19;
TASK ANALYSIS;22;
DEEP LEARNING;26;
OPTIMIZATION;34;
LEARNINGSYSTEMS;1;
SOCIAL NETWORKING (ONLINE);3;
PREDICTION ALGORITHMS;3;
MULTI-GRANULAR REPRESENTATION LEARNING;1;
MULTI-LABEL CLASSIFICATION;2;
NETWORK REPRESENTATION LEARNING;1;
3-CLIQUE;1;
CLASSROOM INSTRUCTION;2;
FACULTY DEVELOPMENT;25;
ORGANIZATIONAL INFLUENCES;1;
RESOURCE ALLOCATION;4;
SERVICE FUNCTION CHAINING;1;
NETWORK FUNCTIONVIRTUALIZATION;1;
DEEP REINFORCEMENT LEARNING;5;
MEDIA IN EDUCATION;6;
TEACHING/LEARNINGSTRATEGIES;6;
PHARMD INTEGRATION;1;
BASIC SCIENCES;1;
PHYSIOLOGY;5;
COMPETENCY-BASED MEDICAL EDUCATION;2;
CONSTRUCTIVE ALIGNMENT;2;
PROBLEM-BASED LEARNING;14;
PROGRAMMATIC ASSESSMENT;3;
PROGRESS TEST;1;
CROSS-PROJECT DEFECT PREDICTION;1;
TRADABOOST;1;
BURAKFILTER;1;
EMPIRICAL STUDY;1;
H-INFINITY CONTROL;1;
OFF-POLICY Q-LEARNING;1;
GAME THEORY;5;
NASH EQUILIBRIUM;1;
PROFESSIONAL PRACTICE MANAGEMENT;1;
HEALTHMANAGEMENT;1;
HEALTH EDUCATION;4;
DISTANCE LEARNING;5;
QUANTUM PARTICLE SWARM;1;
TEAMWORK EVOLUTIONARY STRATEGY;1;
ELECTRO-OPTICALPLATFORM;1;
MULTI-OBJECTIVE OPTIMIZATION;4;
RESEARCH TRAINING;2;
NEAR-PEER TEACHING;2;
PHARMACY STUDENT;1;
IN-SERVICE TEACHERS;1;
SUBJECTIVE THEORIES;1;
TEACHERSOCIALIZATION;1;
UNIVERSITY FACULTY MEMBERS;1;
TESTING EFFECT;1;
ACADEMIC PERFORMANCE;11;
LEARNING OUTCOMES;5;
STEM EDUCATION;4;
PRE-UNIVERSITY STUDENTS;1;
ELECTRICITY AND MAGNETISM COURSE;1;
SECONDARY EDUCATION;13;
PHYSIOLOGY REFRESHER COURSE FOR TEACHERS;1;
INTEGRATIVE PHYSIOLOGY TEACHING;1;
VEHICLE ROUTING PROBLEM;1;
HETEROGENEOUS FLEET;1;
HYPER-HEURISTIC;2;
GRADUATE MEDICAL EDUCATION;8;
GENERAL SURGERY;1;
CORONAVIRUS;3;
COVID-19;23;
RESIDENT WELLNESS;2;
VIRTUAL EDUCATION;3;
AUTOMATIC VECTORIZATION;2;
SOFTWARE OPTIMIZATION;1;
PUBLIC HEALTH NURSING;1;
BACCALAUREATE;3;
DELPHI;1;
COMPETENCIES;5;
NURSING EDUCATION;25;
DRUG ADMINISTRATION;1;
DRUG CALCULATIONSKILLS;1;
CLINICAL SIMULATION;1;
UNIVERSAL DESIGN FOR LEARNING;1;
TRAINING;30;
DOUBLE DEEP Q-NETWORK;1;
ENERGY HARVESTING SYSTEM;1;
FORWARD PROGRESS;1;
NONVOLATILE PROCESSOR (NVP);1;
COMPUTER SCIENCE EDUCATION;7;
HUMAN-COMPUTER INTERACTION;1;
PLAYABILITY;1;
PROGRAMMING FUNDAMENTALS;3;
INTERN;1;
STRESS;6;
COPING STRATEGY;1;
COLLABORATIVE LEARNING;16;
DISCIPLINED SOFTWARE PROCESS;1;
FORMATIVEMONITORING;1;
PROJECT-BASED LEARNING;5;
REFLEXIVE MONITORING;1;
REFLECTIVEPRACTICE;1;
SOFTWARE ENGINEERING PROJECT COURSE;1;
TEAM PERFORMANCE;1;
CLASS-IMBALANCED LEARNING;1;
OVERSAMPLING;1;
CLASSIFICATION;8;
CLUSTERING;4;
SUPERVISED LEARNING;5;
WITHIN-CLASS IMBALANCE;1;
INTERFERENCE;3;
THROUGHPUT;3;
CHANNEL ALLOCATION;2;
POWER CONTROL;4;
EFFECTIVE IN-CLASS PROBLEMS;1;
UNDERGRADUATE RESEARCH;4;
TEACHING AND LEARNING TECHNIQUES METHODS AND APPROACHES;1;
ONLINE PRACTICAL WORK OF ELECTRONICS;1;
E-LEARNING;33;
REMOTE LABORATORY;1;
EMBEDDED SYSTEMS;6;
EOLES PROJECT;1;
FUNCTIONAL LATERALITY;1;
LAPAROSCOPY;2;
MOTOR SKILLS;1;
SURGEONS;2;
PLUG-IN HYBRID ELECTRIC VEHICLE;2;
MODEL PREDICTIVE ITERATIVE LEARNINGCONTROL;1;
BATTERY AGING;1;
NONLINEAR OPTIMIZATION;1;
2-D LYAPUNOV STABILITYTHEORY;1;
COPING;4;
MEDICAL STUDENT;8;
HEALTH SCIENCES CURRICULA;1;
HISTOLOGY;2;
HISTOLOGY EDUCATION;4;
MEDICALEDUCATION;2;
TEACHING AND LEARNING;13;
THRESHOLDCONCEPTS;1;
CHINA;5;
PEDAGOGY;11;
UNITEDSTATES;1;
TEACHING STRATEGIES AND CULTURE DIFFERENCES;1;
COMPUTER APPLICATIONS;6;
EVOLUTIONARY COMPUTING AND GENETIC ALGORITHMS;1;
NATURAL LANGUAGE PROCESSING;2;
WEB TEXT ANALYSIS;1;
REMOTE LABORATORIES;2;
NETWORKED CONTROL SYSTEMS;1;
EDUCATIONALTECHNOLOGY;1;
COEVOLUTION;1;
COMPETITION;1;
SELF-LEARNING;2;
RTS GAME;1;
VIRTUAL PLAYER;1;
RESOURCE MANAGEMENT;10;
DELAYS;7;
SERVERS;7;
EDGE COMPUTING;5;
COMPUTER ARCHITECTURE;2;
MOBILE EDGE COMPUTING;4;
DELAY-CONSTRAINED;1;
CONSTRAINED REINFORCEMENT LEARNING;1;
APPLICATION-SPECIFIC DESIGN;1;
STRONGLY TYPED GENETIC PROGRAMMING;1;
RULE GENERATION;1;
STOCK MARKET;1;
EVOLUTIONARY COMPUTATION;2;
PORTFOLIO COMPOSITION;1;
DISTRIBUTED COOPERATIVE LEARNING;1;
FEEDFORWARD NEURAL NETWORK WITH RANDOMWEIGHTS (FNNRW);1;
CONSENSUS;1;
DISTRIBUTED OPTIMIZATION;1;
ARTIFICIAL INTELLIGENCE;22;
GO PROGRAMS;1;
CONVOLUTIONAL NEURAL NETWORKS;4;
EXTREME LEARNING MACHINE;1;
MONITORING;6;
CLOUD COMPUTING;9;
ENERGYCONSUMPTION;3;
LOAD MANAGEMENT;4;
FUZZYC-MEANS (FCM);1;
LOAD BALANCE;1;
STATE-ACTION-REWARD-STATE-ACTION (SARSA) LEARNING;1;
LEARNERS AS TEACHERS;1;
LIMITED RESOURCE;1;
RURAL;4;
COMPUTER VISION;3;
AMERICAN FOOTBALL;1;
FORMATION ANALYSIS;1;
COMPUTER ASSISTED LEARNING;2;
ANIMATIONS;1;
3DDIGITAL ANIMATIONS;1;
SPATIAL ABILITY;1;
STUDENTS' PERFORMANCE;2;
KINESIOLOGY PROGRAM;1;
OPTIMAL LEARNING;1;
RANKING AND SELECTION;1;
SIMULATION OPTIMIZATION;1;
BAYESIAN LINEAR REGRESSION;1;
LIFELONG LEARNING;8;
RURAL PHYSICIANS;1;
CONTINUING MEDICALEDUCATION;1;
OBESITY;2;
DIABETES;1;
NEPHROPATHIES;1;
COURSE DESIGN;2;
MIXED METHODS;4;
INTELLIGENT DRIVING;1;
PATH PLANNING;2;
SHORTESTPATH ALGORITHM;1;
LEARN I N G FROM DEMONSTRATION S;1;
GAUSSIAN MI X TURE MODEL;1;
COLLABORATIVE ROBOTS;1;
RESIDENTIAL AIR CONDITIONING LOADS;1;
INCENTIVE-BASED DEMAND RESPONSE;1;
DIVERSITY;8;
HEALTHCARE WORKFORCE;1;
NATIVE HAWAIIAN;1;
HUMANISM;2;
COMMUNITY-BASED PARTICIPATORY RESEARCH;3;
FAMILYMEDICINE;1;
MEDICAL SCHOOL;3;
POSTGRADUATE;1;
UNDERSERVED;2;
HUNGER GAMES SEARCH;1;
CHAOS INITIALIZATION;1;
ORTHOGONAL LEARNING;2;
GAUSSIANBAREBONE;1;
ENGINEERING DESIGN;3;
VETERINARY PRECEPTORS;1;
DISTRIBUTED CLINICALEDUCATION;1;
ALCOHOL EDUCATION;1;
AUDIENCE RESEARCH;1;
SEGMENTATION;2;
SOCIAL MARKETING;1;
AEROSPACE ENGINEERING;1;
AIRCRAFT DYNAMICS ANDCONTROL;1;
MATLAB SIMULATION;1;
DATCOM;1;
EMOTION-AWARE COMPUTING;1;
LOOP SELECTION;1;
SPECULATIVEMULTITHREADING;1;
FORMATIVE ASSESSMENT;3;
ONLINE LEARNING;9;
SUMMATIVE ASSESSMENT;3;
ENGAGEMENT;5;
MASS CUSTOMIZATION;1;
LEARNING CURVES;1;
PARAMETER SELECTION;1;
VOLUNTEERING PROGRAMS;1;
ENGINEERING STUDENTS;3;
MOTIVATION;23;
EARTHQUAKE RISKREDUCTION;1;
CESAREAN SECTION;1;
COMMUNICATION SKILLS;3;
COMMUNICATION ATTITUDES;1;
TEAMEFFICACY;1;
MATERNITY NURSING;1;
SIMULATION PROBLEM -BASED LEARNING;1;
SELF-DIRECTED LEARNING;8;
SDLRS SCORE;1;
CULTURE;1;
NURSING EVALUATION RESEARCH;1;
EDUCATIONALMEASUREMENT;1;
MARKOV DECISION PROCESS;2;
FUNCTION APPROXIMATION;1;
WIND TURBINES;1;
ACADEMIC FAILURE;1;
RETENTION;5;
ULTRASOUND;2;
ACOUSTIC SHADOWING;1;
RADIAL ARTERY PUNCTURE;1;
ANESTHESIOLOGY;1;
RESIDENT STANDARDIZATION TRAINING;1;
BAYES METHODS;1;
EXTREME LEARNINGMACHINES;1;
NEURONS;3;
INFERENCE ALGORITHMS;1;
EXTREME LEARNINGMACHINE (ELM);1;
SOFT SENSING;1;
VARIATIONAL BAYESIAN (VB)INFERENCE;1;
CONTEXTUAL LEARNING;1;
ELECTION;1;
PHYSIOLOGY EDUCATION;3;
POLITICAL SLOGAN;1;
ROLE-PLAYING;1;
CODING;1;
WRITING SKILLS;1;
INSTRUCTIONAL STRATEGY;3;
ELEMENTARY EDUCATION;11;
STEM;7;
GAME DESIGN;4;
PROGRAMMING;30;
LATENT SEMANTIC ANALYSIS;1;
ELEMENTARYSCHOOLS;1;
MIDDLE SCHOOLS;1;
BRAIN;1;
NEUROEDUCATION;1;
ONLINE COURSE;2;
SOCIAL DISTANCING;1;
CLIENT SCHEDULING;1;
EFFICIENT TRAINING;1;
HETERO-GENEITY;1;
INTERNET OFTHINGS (IOT)-EDGE FEDERATED LEARNING (FL);1;
RESOURCE BLOCK ALLOCATION;1;
DYNAMIC JOB SHOP SCHEDULING;1;
DISPATCHING RULES;1;
GENETIC PROGRAMMING;8;
EXTENDED TECHNICAL PRECEDENCE CONSTRAINTS;1;
TECHNICAL DECISION MAKING;1;
PROCEDURAL VARIATION;2;
SURGICAL EDUCATION;11;
WORKPLACE-BASED ASSESSMENT;5;
COMPETENCY-BASED EDUCATION;5;
EVIDENCE-BASEDMEDICINE;1;
UNCERTAINTY;4;
SIMULATION BASED MASTERY LEARNING;1;
EMERGENCY MEDICINE;1;
EMERGENCY DEPARTMENT;1;
NEURAL NETWORKS;13;
LEARNING (ARTIFICIAL INTELLIGENCE);2;
CONTROL SYSTEMS;3;
PROCESS CONTROL;4;
SENSITIVITY;1;
DATA-DRIVENCONTROL;1;
ACTOR-CRITIC METHODS;1;
DEEP DETERMINISTIC POLICY GRADIENT;2;
WATER-TANKSYSTEMS;1;
RESIDENT;3;
OKAP;1;
ENERGY SAVING;1;
GREEN NETWORKING;1;
HETEROGENEOUSNETWORKS;1;
INTERFERENCE COORDINATION;1;
CROSS-REALITY;1;
DIGITAL GAME BASED LEARNING;1;
PROTOTYPING;1;
MESH HEADINGS;1;
EDUCATION (MEDICAL);1;
ADAPTIVE EXPERTISE;1;
SELF-ASSESSMENT;5;
INTERPROFESSIONAL EDUCATION;13;
INCLUSION;4;
SURGICAL PIPELINE;1;
EQUITY;3;
MENTORSHIP;4;
DEEP BEAM;1;
MECHANISM;1;
SHEAR;1;
SLENDER BEAM;1;
SESSIONAL TEACHERS;1;
CASUAL;1;
NURSE;1;
CASUALISATION;1;
SEMI-STRUCTUREDINTERVIEWS;1;
WORKFORCE;1;
ARTIFICIAL NEURAL NETWORKS (ANNS);1;
GENETIC PROGRAMMING (GP);1;
MACHINELEARNING;2;
METAHEURISTIC ALGORITHMS;1;
CONCRETE-FILLED STEEL TUBE;1;
THINKING;3;
CRITICAL;1;
LECTURES;1;
PRESCRIBED PERFORMANCE CONTROL;1;
ADAPTIVE DYNAMICPROGRAMMING;1;
TRACKING CONTROL;1;
STRICT-FEEDBACK NONLINEAR SYSTEMS;1;
BROADENINGPARTICIPATION;2;
WOMEN IN CHEMISTRY;2;
CULTURAL RELEVANCE;1;
MARGINALIZEDPOPULATIONS;1;
SCHOOL GARDENS;1;
CHILD AND ADOLESCENT HEALTH;5;
NUTRITION AND DIET;5;
HEALTHPROGRAM EVALUATION;1;
PUBLIC HEALTH;8;
LATINO HEALTH;1;
AUTOMATIC TRACKING;1;
LAGUERRENEURAL NETWORK;1;
CHARACTERISTIC MODEL;1;
PARAMETER TUNING;1;
INTERNET OFTHINGS;1;
HARRIS HAWKS OPTIMIZATION;1;
GLOBAL OPTIMIZATION;1;
SWARM INTELLIGENCE;1;
ENTREPRENEURIAL INTENTION;1;
KERNEL EXTREME LEARNING MACHINE;1;
MATHEMATICAL MODEL;8;
PREDICTIVE MODELS;8;
ARTIFICIAL NEURAL NETWORKS;7;
DECISION MAKING;11;
ARTIFICIAL NEURAL NETWORK;2;
ENERGY STORAGE SYSTEM;1;
ANN-BASED DR MODEL;1;
RETAILPRICING STRATEGY;1;
PEAK REDUCTION;1;
ALGORITHMIC TRADING;1;
FINANCIAL SERIES FORECASTING;1;
BETTING EXCHANGE;1;
GRAPHICS PROCESSING UNITS;1;
COMPUTATIONAL MODELING;4;
ANALYTICAL MODELS;3;
STATIC ANALYSIS;1;
DEEPLEARNING;2;
PROGRAM STATIC ANALYSIS;1;
AUTOMATED TESTING;1;
BUG DETECTION;1;
PEDAGOGICAL AGENT;1;
ENTHUSIASM;1;
MULTIMEDIA LEARNING ENVIRONMENT;1;
EMOTIONAL RESPONSE THEORY;1;
INTRINSIC MOTIVATION;1;
AFFECTIVE PERCEPTIONS;1;
COGNITIVE OUTCOME;1;
COGNITIVE LOAD THEORY;1;
FAULT TOLERANT CONTROL;1;
POLICY ITERATION;1;
NONLINEAR SYSTEMS;1;
FAULT OBSERVER;1;
NEURAL NETWORK;2;
TECHNOLOGY;8;
STUDENT SUPPORT;1;
PROOFOF CONCEPT;1;
PI3K ALPHA INHIBITOR;1;
3D-QSAR PHARMACOPHORE;1;
VIRTUALSCREENING;1;
DIMENSIONALITY REDUCTION;2;
HEALTH-CARE INFORMATICS;1;
DENOISINGAUTOENCODER;1;
AUTOENCODER;1;
BIOMEDICAL INFORMATICS;2;
BINARY CLASSIFICATION;1;
CERVICAL CANCER;1;
HEALTHINFORMATICS;1;
SIMULATION;28;
TRANSITION TO GRADUATE NURSE;1;
CLINICAL PRACTICE;3;
ROLE OFSTAFF NURSE;1;
PARTNERSHIP WITH PRACTICING NURSES;1;
INTERPROFESSIONALEDUCATION;1;
TECHNOLOGY-ENHANCED LEARNING;1;
LEARNINGAPPROACHES;1;
MASSIVE FLEXIBLE DIGITAL MASTER CLASS;1;
MATHEMATICAL MODELING;1;
COMPUTATIONAL SIMULATION;1;
PE METRICS;1;
PRIMARY;1;
COGNITIVE;1;
TEACHER EFFECTIVENESS;1;
OPEN-SOURCE SOFTWARE;1;
LEARNING TECHNOLOGIES;1;
VIRTUAL AND REMOTELABORATORIES;1;
INTERNET-BASED TEACHING;1;
EASY JAVASCRIPT SIMULATIONS;1;
CLINICAL PLACEMENT;6;
COMPETENCY;5;
FOCUS GROUPS;3;
INTERNATIONAL STUDENTS;1;
INTERNATIONALIZATION;1;
SUPERVISION;3;
BIOCHEMISTRY;3;
PHYSICAL CHEMISTRY;3;
COMPUTER-BASEDLEARNING;3;
DISTANCE LEARNING/SELF INSTRUCTION;3;
MOLECULARMECHANICS/DYNAMICS;1;
MOLECULAR MODELING;1;
PROTEINS/PEPTIDES;1;
SPARSE MATRICES;3;
SEQUENTIAL ANALYSIS;1;
DATA MODELS;11;
RNA;1;
MATHEMATICALMODEL;1;
LEARNING SYSTEMS;40;
SINGLE-CELL RNA SEQUENCING;1;
DROPOUT EVENTS;1;
POSTGRADUATE MEDICAL EDUCATION;7;
FATIGUE RISK MANAGEMENT;1;
METAHEURISTICS;3;
PARTICLE SWARM OPTIMISATION;2;
ELECTRIC DISTRIBUTIONSYSTEMS;1;
RECONFIGURATION;1;
COMPUTING SKILLS;1;
DESIGN PROJECTS;1;
INSTRUCTIONAL DESIGN;2;
PROJECT-BASEDLEARNING;3;
GRAPH NEURAL NETWORK;2;
NETWORK FUNCTION VIRTUALIZATION;1;
VIRTUAL NETWORK FUNCTION;1;
SERVICEFUNCTION CHAIN PLACEMENT;1;
MARKOV DECISIONPROCESS;1;
ROBUST CONTROL;2;
UNMATCHED UNCERTAINTY;1;
COMMUNITY MEDICINE;1;
COMMUNITY HEALTH SERVICE;1;
COMMUNITY HEALTHEDUCATION;1;
HEALTH PROMOTION IN RURAL AREAS;1;
COGNITIVELEVEL;1;
MEDICAL ETHICS;1;
GREEN ENERGY;1;
HETEROGENEOUS SERVICE;1;
MOBILEEDGE COMPUTING;1;
POWER CONSUMPTION;1;
FAMILY MEDICINE;3;
POST-GRADUATE MEDICAL EDUCATION (PGME);1;
LEARNINGOBJECTIVES;1;
EUTHANASIA;1;
ASSISTED SUICIDE;1;
MEDICAL ASSISTANCE IN DYING(MAID);1;
CASE STUDY;6;
NONMETRIC DIMENSIONAL SCALING;1;
PHARMACOLOGY;2;
CLINICAL;4;
WORK-BASED;1;
MANAGEMENT;2;
ROLEOF TEACHER;1;
GENERAL;1;
CONTINUING;1;
PATIENT DETERIORATION;2;
EMPATHY;4;
EMPATHY EDUCATION;1;
UNDERGRADUATE NURSING INTERNS;1;
GENETIC LAW OF CULTURAL DEVELOPMENT;1;
VYGOTSKY;1;
CULTURAL-HISTORICALACTIVITY THEORY;1;
SOCIOCULTURAL LEARNING THEORY;1;
