keywords;count;
WIRELESS NETWORKS;1;
PACKET NETWORKS;1;
ACCESS-CONTROL;1;
QUALITY;29;
SERVICES;4;
FACULTY;27;
INSTITUTE;1;
WORK;17;
FUNCTION PLACEMENT;1;
REINFORCEMENT;2;
ORCHESTRATION;2;
NETWORKING;3;
NFV;1;
VIRTUAL-REALITY;5;
WORKING-MEMORY;4;
MOTOR;1;
VALIDITY;17;
THERAPY;4;
ADHD;1;
PLAY;1;
BASIC SCIENCE;4;
BIOMEDICAL KNOWLEDGE;1;
CLINICAL SCIENCES;1;
BACK;3;
INTEGRATE;1;
DIAGNOSIS;1;
PROGRAMMATIC ASSESSMENT;3;
DONT KNOWS;2;
RELIABILITY;8;
ZERO-SUM GAMES;2;
STATIC OUTPUT-FEEDBACK;1;
DIFFERENTIAL GRAPHICAL GAMES;1;
OPTIMAL TRACKING CONTROL;2;
ADAPTIVE OPTIMAL-CONTROL;1;
POLE ASSIGNMENT;1;
LINEAR-SYSTEMS;1;
SYNCHRONIZATION;3;
DESIGNS;1;
CUCKOO SEARCH ALGORITHM;1;
RANDOMIZED CONTROLLED-TRIAL;2;
CLINICAL PHARMACY;1;
DOCTOR;1;
PHYSICAL-EDUCATION TEACHER;1;
SPORT EDUCATION;1;
STANDARDS;4;
DELIVERY;6;
RETENTION;10;
RECALL;1;
POWER;10;
SEARCH;9;
PICKUP;2;
GO;4;
OPERATING-ROOM;6;
SELF-REGULATION;6;
MOTIVATION;28;
AUTONOMY;4;
CORE COMPETENCES;1;
IMPLEMENTATION;27;
PROMOTION;3;
NURSES;26;
SIMULATION;23;
ACADEMIC-ACHIEVEMENT;7;
ANATOMY;6;
DEPRESSION;12;
TOOL;16;
BACCALAUREATE;3;
BSN;1;
CAPACITY;7;
CAPSTONE COURSE;1;
TEAM PROCESSES;1;
SCRUM;1;
AGILE;1;
SAMPLING METHOD;1;
DATA-SETS;1;
CLASSIFICATION;14;
CLASSIFIERS;2;
RESOURCE-ALLOCATION;6;
EFFICIENT;9;
ASSOCIATION;9;
ASSIGNMENT;3;
SCHEME;4;
LECTURES;3;
UNDERGRADUATE RESEARCH-PROGRAM;1;
INTEGRATING ETHICS;1;
PHYSICS FACULTY;1;
ASSISTANTS;1;
BARRIERS;20;
MATHEMATICS;7;
LAPAROSCOPIC SURGERY;1;
SKILLS ACQUISITION;1;
CHOLECYSTECTOMY;1;
REPLACEMENT;1;
EXPERIENCE;32;
TRAINEES;7;
GENDER;13;
POWER MANAGEMENT;7;
TRAJECTORY TRACKING;1;
STRATEGY;26;
BUS;2;
VARIABLE CHANGE MODELS;1;
STRESS;10;
SUPPORT;16;
MULTICENTER;1;
ACHIEVEMENT;25;
GUIDED TISSUE REGENERATION;1;
VIRTUAL MICROSCOPY;2;
FUNCTIONAL HISTOLOGY;1;
VETERINARY;1;
INTEGRATION;11;
PHYSIOLOGY;6;
TRENDS;2;
INVESTOR SENTIMENT;1;
PRICE REACTION;1;
LANGUAGE;6;
SPACES;1;
ALGORITHMS;7;
PREDICTION;17;
SELECTION;12;
RETURN;1;
FUNCTIONAL-LINK NET;1;
CONVEX-OPTIMIZATION;2;
SENSOR NETWORKS;1;
CONSENSUSOPTIMIZATION;1;
FUNCTION APPROXIMATION;1;
GOSSIP ALGORITHMS;1;
REGRESSION;8;
ADMM;1;
EXTREME LEARNING-MACHINE;3;
CHALLENGE;1;
PLACEMENT;4;
IOV;1;
CONTINUING MEDICAL-EDUCATION;1;
DELIBERATE PRACTICE;2;
CONTROLLED-TRIAL;4;
ACQUISITION;7;
VISUAL-SPATIAL ABILITY;1;
MENTAL ROTATION;1;
VIDEOS;1;
VISUALIZATIONS;1;
DISSECTION;5;
MOTION;2;
SIMULATION BUDGET ALLOCATION;1;
GLOBAL OPTIMIZATION;8;
FIELD;2;
CAREER SATISFACTION;1;
ORIENTATION;3;
ORGANIZATIONS;2;
FUTURE;8;
CHRONIC KIDNEY-DISEASE;1;
DIABETIC-NEPHROPATHY;1;
METABOLISM;1;
MECHANISMS;1;
FACULTY-DEVELOPMENT;13;
SELF-EFFICACY;25;
MEDICAL EDUCATORS;2;
JOB-SATISFACTION;5;
TEACHING SKILLS;1;
ROUTING METHOD;1;
INTERNET;12;
KIND;1;
TASK;3;
ALTERNATIVE MEDICINE;2;
COMPLEMENTARY;2;
PATTERNS;7;
HUMAN DIMENSIONS;2;
MATHEMATICAL-PROGRAMMING METHODS;1;
PARTICLE SWARM OPTIMIZATION;9;
SINECOSINE ALGORITHM;1;
STRUCTURAL OPTIMIZATION;1;
INSPIRED OPTIMIZER;1;
GENETIC ALGORITHM;6;
COMMUNITY PRECEPTORS;1;
PHYSICIANS PERCEPTIONS;1;
INCENTIVES;2;
REWARDS;1;
BINGE DRINKING;1;
DRUG;1;
RISK;11;
COMPUTER;4;
EFFICACY;10;
BIG DATA;4;
THREAD;1;
COMPUTER-ASSISTED-INSTRUCTION;1;
CLINICIAN-EDUCATORS;1;
PERFORMANCE-MODEL;1;
CURVE ANALYSIS;1;
OPERATION;5;
GROWTH;2;
CIVIL-SOCIETY;1;
DISASTER;1;
LEBANON;1;
THERAPEUTIC COMMUNICATION;1;
NURSING-STUDENTS;8;
1ST-YEAR;2;
STYLES;5;
ENVIRONMENT;16;
CLIMATE;6;
KERNEL;1;
ENTRY;1;
RATES;1;
AGE;2;
ULTRASOUND GUIDANCE;1;
PALPATION;1;
SENSORS;1;
LITERACY;3;
KINDERGARTEN;1;
1ST-GRADE;1;
FLUENCY;1;
SCRATCH;5;
HEALTH-PROFESSIONS EDUCATION;5;
GUIDE;9;
BRAIN;1;
CONVERGENCE;5;
PRIORITY DISPATCHING RULES;1;
MEAN WEIGHTED TARDINESS;1;
SETUP TIMES;1;
MINIMIZE;4;
EARLINESS;1;
POLICIES;4;
RELEASE;1;
EXPERTISE;3;
MORBIDITY;3;
CONTINGENCY;1;
COMPLEXITY;3;
RESIDENTS;20;
SKILL;3;
DISCHARGE INSTRUCTIONS;1;
AMERICAN-COLLEGE;1;
HEART-FAILURE;1;
RETURN VISITS;1;
PILOT TEST;1;
IN-TRAINING EXAMINATION;1;
AMERICAN-BOARD;1;
EDUCATIONAL-METHODS;1;
EXAMINATION SCORES;3;
CERTIFICATION;2;
HABITS;3;
ON/OFF STRATEGIES;1;
TOO;2;
AFRICAN-AMERICAN;2;
QUESTIONNAIRE;9;
REINFORCED-CONCRETE BEAMS;1;
DEEP BEAMS;1;
STRENGTH MODEL;1;
FAILURE;3;
MEMBERS;2;
TESTS;4;
LEARNING CURRICULA;1;
CONSENSUS;3;
INTERVENTIONS;18;
CRITERIA;2;
FLEXNER;4;
ORIGINS;1;
DELPHI;2;
CLINICAL EDUCATION;2;
CONTINUITY;1;
MODELS;14;
BLOCK;1;
TIME;19;
CLASSROOM;14;
BIOCHEMISTRY;3;
MISCONCEPTIONS;3;
HIGH-STRENGTH STEEL;1;
ARTIFICIAL NEURAL-NETWORK;2;
EXPERIMENTAL BEHAVIOR;1;
TUBULAR COLUMNS;1;
STUB COLUMNS;1;
SQUARE HOLLOW;1;
STRUCTURAL BEHAVIOR;1;
HSSCOLUMNS;1;
WELDED BOX;1;
TEACHING MODELS;1;
NEURAL-NETWORKS;9;
ARCHITECTURES;1;
MAP;1;
OPTIMAL-CONTROL DESIGN;2;
NEURAL-CONTROL;1;
SOCIAL COGNITIVE THEORY;2;
NUTRITION EDUCATION;1;
FRUIT;4;
CONSUMPTION;2;
IDENTIFICATION;10;
ANT COLONY OPTIMIZATION;2;
SINE COSINE ALGORITHM;1;
INTELLIGENCE;3;
ROCK;1;
PROTEIN SECONDARY STRUCTURE;1;
DIRECT-COUPLING ANALYSIS;1;
MAP PREDICTION;1;
CORRELATED MUTATIONS;1;
SEQUENCE;3;
EVOLUTIONARY;1;
TEACHER ENTHUSIASM;1;
EMOTIONAL DESIGN;1;
IMMEDIACY;1;
MARKOVIAN JUMP SYSTEMS;1;
LEARNING CONTROL;1;
ROBUST;2;
STABILIZATION;2;
CONNECTEDNESS;1;
PI3K/MTOR INHIBITOR;1;
FORCE-FIELDS;1;
PI3K;1;
TARGET;1;
POTENT;1;
PF-04691502;1;
ACADEMIC MEDICINE;3;
WOMEN;12;
US;3;
INSTITUTIONS;1;
VALUES;3;
CLASSIFIER;1;
GENE;1;
CLINICAL-PRACTICE;5;
DC MOTOR;1;
PERFORMANCE ANALYSIS;1;
D.C.;1;
EXERCISE;2;
PARTICIPATION;12;
NUTRITION;5;
VARIABLES;3;
HIGH-SCHOOL-STUDENTS;2;
PCK;2;
RNA;1;
GENE-EXPRESSION;2;
MOUSE;1;
TRANSCRIPTOME;1;
DUTY HOURS;1;
WORK HOURS;2;
BALANCE;4;
POLICY;3;
DISTRIBUTION NETWORK RECONFIGURATION;1;
VARYING ACCELERATION COEFFICIENTS;1;
RADIAL-DISTRIBUTION SYSTEMS;1;
POWER LOSS MINIMIZATION;1;
PSO;3;
REDUCTION;3;
DSTATCOM;1;
VELOCITY;1;
COST;4;
INTELLECTUAL-DEVELOPMENT;1;
PROJECT;3;
NETWORK FUNCTION PLACEMENT;1;
RESOURCE OPTIMIZATION;1;
FAULT-TOLERANT CONTROL;1;
LAPLACIAN FRAMEWORK;1;
APPROXIMATION;1;
PALLIATIVE MEDICINE;1;
OF-LIFE;2;
VALIDATION;16;
LESSONS;4;
EMPATHY;5;
EXPLORATORY FACTOR-ANALYSIS;1;
SCIENCES;7;
SELECTION CRITERIA;1;
REMEDIATION;2;
ATTRIBUTIONS;1;
RAPID RESPONSE SYSTEMS;1;
DECISION-MAKING;10;
ACTIVATION;2;
VERSION;1;
ENIGMA;1;
COGNITION;3;
QUALITY IMPROVEMENT;4;
PROFICIENCY;5;
PEOPLE;4;
ATHENS INSOMNIA SCALE;1;
ADOLESCENT SLEEP;1;
EDUCATION-PROGRAM;2;
HYGIENE EDUCATION;1;
DURATION;1;
HYDROTHERMAL ENERGY SYSTEM;1;
PEAK SHAVINGOPERATION;1;
RESERVOIR OPERATION;1;
PROGRAMMING MODEL;1;
SEARCH ALGORITHM;2;
UNIT COMMITMENT;2;
NEURAL-NETWORK;5;
CUCKOO SEARCH;1;
INTERNSHIP;1;
TEAMWORK;4;
OBSERVABLE PRACTICE ACTIVITIES;1;
QUESTIONS;4;
PRODUCTS;2;
USABILITY;2;
FIDELITY;2;
NONALCOHOLIC FATTY LIVER;1;
HEPATOCELLULAR-CARCINOMA;1;
VIRUS-INFECTION;1;
PUBLIC-HEALTH;2;
HEPATITIS-B;1;
DISPARITIES;6;
SURVIVAL;2;
EPIDEMIOLOGY;2;
ACHIEVEMENT GOALS;2;
CLASS-A;1;
BEHAVIORS;5;
ATTENTION;2;
SIDE;1;
PERCEIVED IMPORTANCE;1;
PERSPECTIVES;16;
CLINICIAN-EDUCATOR;1;
COMMUNITIES;6;
COMPETENCES;11;
IDENTITY;3;
CAREERS;2;
SCHOLARSHIP;5;
WORKPLACE;6;
NETWORK;10;
WORKPLACE-BASED ASSESSMENT;1;
EDUCATIONAL ALLIANCE;1;
ACTIVITY PROMOTION;2;
PERSON RESPONSE FUNCTION;1;
FORMATIVE ASSESSMENT;3;
PROGRESS TEST;1;
COLLABORATION;7;
BENCHMARKING;1;
AMERICA;2;
SOCIETY;3;
GUIDELINES;5;
EPIDEMIC;1;
UPDATE;4;
DRUGS;1;
OPTIMAL POWER MANAGEMENT;1;
VEHICLE;1;
PATIENT SAFETY;7;
SBAR TECHNIQUE;1;
HANDOFFS;1;
EVIDENCE-BASED MEDICINE;2;
CRITICAL-APPRAISAL SKILLS;1;
SURGERY;11;
BEE COLONY ALGORITHM;2;
STRUCTURAL DESIGN OPTIMIZATION;1;
TOTALCOMPLETION-TIME;1;
SCHEDULING PROBLEMS;1;
MAKESPAN;1;
THEORETICAL DOMAINS FRAMEWORK;1;
BEHAVIOR-CHANGE;1;
GENERAL-PRACTICE;1;
MENTORSHIP;2;
GUIDELINE;1;
WORKSHOP;2;
ORGANIC-CHEMISTRY;3;
SYSTEMS THINKING;1;
COGNITIVE RADIO NETWORKS;1;
DYNAMIC POWER MANAGEMENT;1;
ON-CHIP;1;
SYSTEMS;19;
DVFS;1;
SCAFFOLDING ARGUMENTATION;1;
SCIENTIFIC ARGUMENTATION;1;
KNOWLEDGECONSTRUCTION;1;
TELEVISION PROGRAMS;1;
SCIENCE-EDUCATION;2;
TEACHER;4;
DISCOURSE;4;
EXPOSURE;4;
CONTEXT;6;
HEALTH SYSTEMS;2;
HEALTH-CARE EDUCATION;1;
COMMUNICATION-SKILLS;6;
INTENTION;3;
OPTIMIZATION ALGORITHM;2;
COLONY OPTIMIZATION;1;
SOLVE;1;
CROSSOVER;1;
EMISSION;1;
ZONES;1;
RADIOMICS;1;
INCLUDING OVERWEIGHT;1;
VALUE ORIENTATIONS;1;
SECONDARY-SCHOOL;1;
MOVEMENTSKILLS;1;
GOALS;2;
PREDICTORS;3;
HEALTHY;2;
FITNESS;2;
UNDERGRADUATE;9;
COMPONENTS;3;
RETRIEVAL;3;
EDGE;2;
SECURITY;1;
REFORM;3;
INTEGRATE TECHNOLOGY;2;
CONSTRAINED OPTIMIZATION;1;
HOME;3;
APPLIANCES;2;
RECORDS;1;
SCORE;1;
BIOSCIENCES;1;
NEEDS;2;
NORMALIZATION PROCESS THEORY;1;
ADOPTION;4;
TECHNOLOGIES;3;
INFORMATICS;1;
TELECARE;1;
RECORD;1;
PORTFOLIO OPTIMIZATION;2;
SOFT INFORMATION;1;
RISK-ASSESSMENT;1;
CREDIT RISK;1;
PEER;3;
PLATFORM;2;
MARKET;4;
DISCRIMINATION;5;
TRANSFORMATION;2;
APPEARANCE;1;
REINFORCEMENT LEARNING CONTROL;1;
OPTIMIZATION MODEL;1;
OPTIMIZATION TECHNIQUES;1;
FLOW;8;
INTENTIONS;1;
DIETARY;1;
INDUSTRY;3;
HAZARDS;2;
OIL;1;
SENSITIVITY;2;
MTOR;1;
ELECTRIC VEHICLES;3;
DEMAND;4;
PROBLEM-SOLVING STRATEGIES;2;
GRADUATE-STUDENTS;2;
GRADING PRACTICES;2;
PHYSICS;6;
REFLECTION;9;
PEERS;1;
COMPUTATIONAL THINKING;10;
COGNITIVE LOAD THEORY;2;
WORKED EXAMPLES;2;
EXPLANATIONS;4;
PRINCIPLES;4;
ROUNDS;2;
LONG;1;
PATIENT-CENTERED CARE;1;
COMPLEXITY SCIENCE;2;
READINESS;2;
TEAMS;2;
TRANSGENDER;1;
DISCIPLINARY ACTION;1;
DIRECTORS;2;
RATINGS;2;
HEART-RATE;1;
VENTILATION;1;
PROFESSIONAL-DEVELOPMENT;14;
CONTENT KNOWLEDGE;3;
K-12;8;
RECEPTOR-INTERACTING PROTEIN;1;
NONAPOPTOTIC CELL-DEATH;1;
NF-KAPPA-B;1;
SCREENING STRATEGY;1;
NECROPTOSIS;1;
NECROSIS;1;
PHARMACOPHORE;1;
DESCRIPTORS;2;
DIGITIZATION;1;
CANCER PREVENTION;1;
MORTALITY;4;
SURGICAL SKILLS;3;
SERVICES TASK-FORCE;1;
INTERPROFESSIONAL SOCIALIZATION;1;
12 TIPS;5;
COMMERCIALIZATION;1;
DRUG DISCOVERY;1;
COVID-19;4;
REPLICATION;1;
DISCRETE-TIME-SYSTEMS;2;
FEEDBACK CONTROL;1;
DISTURBANCE;1;
WORKFORCE;3;
INFORMATION-SYSTEMS;3;
ORGANIZATIONAL-CHANGE;1;
INSTITUTIONAL LOGICS;1;
INTERIM STRATEGY;1;
NATIONAL PROGRAM;1;
DISEASE-CONTROL;1;
ELEMENTARY;1;
HYBRID;3;
LIGHT;1;
TPACK;3;
INSTRUMENT;7;
RESPECT;3;
SELF-DETERMINATION;3;
ALTRUISM;1;
ALTERNATING DIRECTION METHOD;1;
RESOURCE;1;
SUN PROTECTION PRACTICES;1;
SKIN-CANCER;1;
BRIEF INTERVENTION;1;
TREATMENT SBIRT;1;
CONSOLIDATED FRAMEWORK;1;
PHYSICIAN;3;
MOTION PRIMITIVES;1;
ADAPTATION;2;
METRICS;1;
WASTE;1;
STAR;1;
ACTOR-NETWORK-THEORY;1;
HEALTH-CARE QUALITY;1;
PATIENTSAFETY;1;
UNDERGRADUATE EDUCATION;1;
INSTRUCTIONAL PRACTICES;2;
12TIPS;2;
LEARNERS;7;
EMOTIONAL INTELLIGENCE;2;
TEACHING-METHODS;1;
MENTORING RELATIONSHIPS;1;
PROTEGE PERCEPTIONS;1;
COLLEGE;15;
SURGICAL LEARNING-CURVE;1;
MINIMAL ACCESS SURGERY;1;
BARIATRIC SURGERY;1;
PRACTICE PATTERNS;1;
ROBOTIC SURGERY;1;
BIOGEOGRAPHY-BASED OPTIMIZATION;1;
THINKING;7;
MENTAL-ILLNESS STIGMA;1;
DEPRESSIVE SYMPTOMS;2;
IMPROVE;3;
DOCUMENT;1;
SQL;1;
PROGRESSIVE INDEPENDENCE;1;
HEALTH-PROFESSIONS;6;
ACCURACY;3;
MORAL DISTRESS;1;
2ND VICTIM;1;
LEARNING ENVIRONMENTS;2;
COMPLETION;2;
LOCKDOWN;1;
TECHNOLOGY-ENHANCED SIMULATION;2;
ANESTHETIZED PATIENTS;1;
MEDICINERESIDENTS;1;
PROCEDURAL SKILLS;1;
AIRWAY MANAGEMENT;1;
PROFESSIONS;1;
INTUBATION;1;
SELF-ESTEEM;1;
COUNTRIES;1;
ANXIETY;4;
TEACHING SCHOLARS PROGRAM;2;
CONSTRUCTION;3;
FELLOWSHIP;4;
LEARNING ANALYTICS;3;
VOLAR PLATE FIXATION;1;
TISSUE DIFFERENTIATION;1;
GRIP STRENGTH;1;
LOCKING;1;
STABILITY;1;
SIZE;1;
COMPRESSION;1;
GAP;4;
RECERTIFICATION;1;
NEONATOLOGY;1;
NEED;1;
ATTENDING PHYSICIAN WORKLOAD;1;
SOCIAL MEDIA;4;
GRADUATE MEDICAL-EDUCATION;2;
DUTY-HOUR RESTRICTIONS;1;
AMERICAN BOARD;2;
NIGHT-FLOAT;1;
CERTIFYING EXAMINATION;1;
ACCREDITATION COUNCIL;1;
LEARNINGPORTFOLIO;1;
PATIENT-CARE;2;
CEPHALOMETRIC LANDMARKS;1;
MAGNIFICATION;1;
ADULTS;1;
PRIMARY-CARE;3;
PROJECTS;2;
LOW-BACK-PAIN;1;
INSTRUMENTS;1;
MENTAL-HEALTH;7;
RACE;8;
L1;1;
IDEOLOGY;1;
ACCENT;1;
DESIGN OPTIMIZATION;1;
DIFFERENTIALEVOLUTION;1;
INTEGER;1;
ELECTRONIC HEALTH RECORDS;1;
PERCEPTION;4;
GRADUATE NURSES;2;
1ST YEAR;3;
TRANSITION;7;
NURSING WORKFORCE;1;
STORIES;1;
REINFORCEMENT LEARNING FRAMEWORK;1;
ASSIGNMENT ALGORITHM;1;
DEFRAGMENTATION;1;
MODULATION;2;
NURSING-EDUCATION;2;
PROCESSING-TIMES;1;
FLOW-SHOP;1;
COMPLETION-TIME;2;
JOBS;2;
MAINTENANCE;1;
COLONY;1;
AUSTRALIAN GENERAL-PRACTICE;1;
BLOOD-PRESSURE;1;
MEDICATION;1;
ADHERENCE;1;
CLINICAL-PHARMACOLOGY;1;
FEASIBILITY;1;
FREE-RESPONSE QUESTIONS;1;
QUANTUM-MECHANICS;1;
PEER INSTRUCTION;3;
CATEGORIZATION;1;
HUMAN PATIENT SIMULATION;2;
INTERPROFESSIONAL EDUCATION;2;
INTERCULTURALSKILLS;1;
ACCESS;4;
SOCIAL-RESPONSIBILITY;1;
HIGH-LEVEL SYNTHESIS;1;
MECHANISM;3;
UNSYMMETRICAL BIARYLS;1;
EFFICIENCY;2;
FACE;1;
COORDINATION;2;
HELPING BABIES BREATHE;1;
NONTECHNICAL SKILLS;1;
BODY-MASS INDEX;1;
ACTIVE TRANSPORTATION;1;
US CHILDREN;1;
ADOLESCENTS;6;
WALKING;3;
JOURNEY;1;
CHILDHOOD-CANCER;1;
PSYCHOSOCIAL IMPACT;1;
USER ACCEPTANCE;2;
NEED SATISFACTION;1;
SPIRITUALITY;1;
SPEECH-LANGUAGE PATHOLOGY;1;
KNOWLEDGETRANSLATION;1;
OCCUPATIONAL THERAPISTS;1;
CORONARY-HEART-DISEASE;1;
DENTATE GYRUS;1;
MYOCARDIAL-INFARCTION;1;
ADULTNEUROGENESIS;1;
CALIFORNIA;1;
STROKE;1;
HAWAII;1;
JAPAN;1;
HIPPOCAMPUS;1;
SCENARIO REDUCTION;1;
DISPATCH;1;
MARKETS;1;
BOOKING DISCOUNT PROGRAMS;1;
PURCHASE DISCOUNTS;1;
SALES;1;
DECISIONS;2;
CHOICES;1;
SIMULATIONS;2;
DERIVATIVE-FREE OPTIMIZATION;1;
PARAMETER-ESTIMATION;2;
FEASIBILITY ANALYSIS;2;
FLEXIBILITY ANALYSIS;1;
BIODIESEL PRODUCTION;1;
SURROGATE MODELS;1;
FILTER METHOD;1;
WORKPLACE INCIVILITY;1;
CIVILITY;1;
POROUS-MEDIA;1;
MECHANICS;2;
MODULES;1;
MATLAB;2;
FORCE;1;
SOIL;1;
PERSONAL INNOVATIVENESS;1;
LEARNING ACHIEVEMENT;1;
DIVERGENT THINKING;1;
IDEA GENERATION;1;
FACEBOOK GROUPS;1;
PLAY PROGRAM;1;
PRETEND PLAY;1;
SPEECH;1;
EXTRACTION;1;
DATABASE;2;
CARDIOVASCULAR HEALTH;1;
PREVALENCE;2;
ETIOLOGY;1;
UTILITY;1;
INTERRUPTIONS;1;
MULTITASKING;2;
COMMUNITY CAPACITY;1;
SCHOOL CHEMISTRY TEACHERS;1;
RESOURCE NURSE;1;
INTEGRATED CURRICULUM;1;
DENTAL EDUCATORS;1;
GROSS-ANATOMY;3;
SCHOOLS;3;
CHILDHOOD OBESITY;3;
LATINO FAMILIES;1;
PRESCHOOL-CHILDREN;1;
LA SPROUTS;1;
OVERWEIGHT;1;
ENERGY-CONSUMPTION;1;
OPTIMAL STRATEGIES;1;
LIFETIME;1;
TRANSMISSION;1;
AGGREGATION;2;
NODES;1;
PROFESSIONAL IDENTITY;1;
CULTURAL COMPETENCE;4;
SENSOR DECISION RULES;1;
LIKELIHOOD-RATIO TEST;1;
DECENTRALIZED DETECTION;1;
DETECTION NETWORKS;1;
NONIDEAL CHANNELS;1;
DETECTION SYSTEMS;1;
MULTIPLESENSORS;1;
SOCIAL NETWORKS;1;
FUSION RULES;1;
EMERGENCY-DEPARTMENT;1;
HOSPITALS;3;
SCHOOL-CHILDREN;1;
OBESITY;2;
CHILDHOOD;1;
COPING STRATEGIES;3;
COLLEGES;1;
TABU SEARCH;3;
SYMPTOMS;2;
FACILITATION;2;
RESEARCH AGENDA;1;
TEACHING EFFECTIVENESS;4;
FLIPPED CLASSROOM;4;
LEARNING COURSE;1;
POSTGRADUATE;2;
REDESIGN;2;
DESIGN HEURISTICS;1;
ORGANIZATIONAL INNOVATION;1;
CREATIVITY;1;
DEMANDS;1;
SUICIDE;1;
INJURY;2;
CARDIOPULMONARY-RESUSCITATION;1;
DEFIBRILLATION;1;
INTERACTIVE SIMULATIONS;1;
