year;Authors; AuthorOne;AuthorLast;Quartil;Keywords;Keyword;Count;
2011;Johnson S,Tuggle C;Johnson S;Tuggle C;Q1;vacio;vacio;1;
2010;Reeb D,Upadhyay A;Reeb D;Upadhyay A;Q1;vacio;vacio;1;
2020;Dwekat A,Carmona P;Dwekat A;Carmona P;Q1;vacio;vacio;1;
2020;Luciano MM,Shropshire C;Luciano MM;Shropshire C;Q1;vacio;vacio;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States;article;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; board of trustees;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; hospital management;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; information processing;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; organization;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; professional standard;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; United States;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Data Collection;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Decision Making;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Organizational;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Governing Board;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Hospital Administration;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Organizational Objectives;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; Professional Role;1;
2011;Ford-Eickhoff K,McDaniel Jr RR;Ford-Eickhoff K;McDaniel Jr RR;Q1;article, board of trustees, hospital management, information processing, organization, professional standard, United States, Data Collection, Decision Making, Organizational, Governing Board, Hospital Administration, Organizational Objectives, Professional Role, United States; United States;1;
2015;Brennan NM,Kirwan CE;Brennan NM;Kirwan CE;Q1;vacio;vacio;1;
2015;Michelon G,Beretta S;Michelon G;Beretta S;Q1;vacio;vacio;1;
2014;Bezemer PJ,Maassen G;Bezemer PJ;Maassen G;Q1;vacio;vacio;1;
2013;Klijn E,Volberda HW;Klijn E;Volberda HW;Q1;vacio;vacio;1;
2010;Khongmalai O,Siengthai S;Khongmalai O;Siengthai S;vacio;vacio;vacio;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe;Computational complexity;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Regression analysis;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Board characteristics;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Complex configuration;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Corporate characteristics;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Empirical literature;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Financial performance;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Fuzzy Set Qualitative Comparative Analysis;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Qualitative comparative analysis;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Theoretical arguments;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Finance;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; comparative study;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; corporate strategy;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; industrial performance;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; qualitative analysis;1;
2021;García-Ramos R,Díaz BD;García-Ramos R;Díaz BD;Q1;Computational complexity, Regression analysis, Board characteristics, Complex configuration, Corporate characteristics, Empirical literature, Financial performance, Fuzzy Set Qualitative Comparative Analysis, Qualitative comparative analysis, Theoretical arguments, Finance, comparative study, corporate strategy, industrial performance, qualitative analysis, Southern Europe; Southern Europe;1;
2020;Trinh VQ,Cao ND;Trinh VQ;Cao ND;Q1;vacio;vacio;1;
2015;Rebeiz KS;Rebeiz KS;vacio;Q1;vacio;vacio;1;
2003;Abdel-khalik AR;Abdel-khalik AR;vacio;Q1;vacio;vacio;1;
2008;Guillénn MF,Tschoegl A;Guillénn MF;Tschoegl A;vacio;vacio;vacio;1;
2006;Blair M.M P,Stout L.A P;Blair M.M P;Stout L.A P;Q1;vacio;vacio;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks;Copyrights;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; Facings;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; Inter-organizational;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; replication;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; Resource dependences;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; temporal context;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; uncertainty;1;
2016;Howard MD,Hillman AJ;Howard MD;Hillman AJ;Q1;Copyrights, Facings, Inter-organizational, replication, Resource dependences, temporal context, uncertainty, Complex networks; Complex networks;1;
2012;Neumann BR,Roberts ML;Neumann BR;Roberts ML;Q4;vacio;vacio;1;
1991;Hollman KW,Forrest JE;Hollman KW;Forrest JE;vacio;vacio;vacio;1;
2005;Nwogugu M;Nwogugu M;vacio;Q2;vacio;vacio;1;
2005;Nwogugu M;Nwogugu M;vacio;Q2;vacio;vacio;1;
2021;Azevedo L,Santos G;Azevedo L;Santos G;Q1;vacio;vacio;1;
2016;Berge S,Mount P;Berge S;Mount P;Q2;vacio;vacio;1;
2019;Vij M;Vij M;vacio;Q2;vacio;vacio;1;
2015;Sanchez-Marin G,Baixauli-Soler JS;Sanchez-Marin G;Baixauli-Soler JS;Q2;vacio;vacio;1;
2011;?ener I,Aren S;?ener I;Aren S;vacio;vacio;vacio;1;
1975;Ward JA;Ward JA;vacio;Q1;vacio;vacio;1;
2021;Alawaqleh QA,Almasria NA;Alawaqleh QA;Almasria NA;vacio;vacio;vacio;1;
2020;Diaz DA,Rees CJ;Diaz DA;Rees CJ;Q1;vacio;vacio;1;
2016;Lewellyn KB,Muller-Kahle MI;Lewellyn KB;Muller-Kahle MI;Q2;vacio;vacio;1;
2014;Ahn MJ;Ahn MJ;vacio;Q3;vacio;vacio;1;
2014;Clarke T;Clarke T;vacio;Q2;vacio;vacio;1;
2011;Harris L;Harris L;vacio;Q1;vacio;vacio;1;
2011;Migliore LA,DeClouette AH;Migliore LA;DeClouette AH;Q1;vacio;vacio;1;
2010;Reed R,Storrud-Barnes SF;Reed R;Storrud-Barnes SF;Q1;vacio;vacio;1;
2021;Wu J,Yu L;Wu J;Yu L;Q1;vacio;vacio;1;
2021;D. Kolev K,Rehbein K;D. Kolev K;Rehbein K;Q1;vacio;vacio;1;
2018;Bouffard SC,Fleming S;Bouffard SC;Fleming S;Q2;vacio;vacio;1;
2017;Chen LY,Lai JH;Chen LY;Lai JH;Q1;vacio;vacio;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research;Industrial management;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Black boxes;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Board size;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Boards of directors;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Corporate governance;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Inherent characteristics;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Joint ventures;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Organizational forms;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Primary data;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; Monitoring;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; governance approach;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; joint venture;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; monitoring;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; organizational framework;1;
2019;Klijn E,van den Bosch FA;Klijn E;van den Bosch FA;Q1;Industrial management, Black boxes, Board size, Boards of directors, Corporate governance, Inherent characteristics, Joint ventures, Organizational forms, Primary data, Monitoring, governance approach, joint venture, monitoring, organizational framework, research; research;1;
2018;Rebeiz KS;Rebeiz KS;vacio;Q1;vacio;vacio;1;
2014;Atinc G,Ocal Y;Atinc G;Ocal Y;Q1;vacio;vacio;1;
2005;Sussland WA;Sussland WA;vacio;vacio;vacio;vacio;1;
2021;Suwaidan MS,Cherrati SO;Suwaidan MS;Cherrati SO;vacio;vacio;vacio;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things;Cloud computing;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Cost effectiveness;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Security of data;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Agile architectures;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Boards of directors;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Cyber security;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Dynamic architecture;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Enterprise Architecture;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Internet of thing (IOT);1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Qualitative method;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Risk based approaches;1;
2018;Griffy-Brown C,Chun M;Griffy-Brown C;Chun M;vacio;Cloud computing, Cost effectiveness, Security of data, Agile architectures, Boards of directors, Cyber security, Dynamic architecture, Enterprise Architecture, Internet of thing (IOT), Qualitative method, Risk based approaches, Internet of things; Internet of things;1;
2015;Pérez-Calero Sánchez L,Villegas Periñán MD;Pérez-Calero Sánchez L;Villegas Periñán MD;Q2;vacio;vacio;1;
2012;Dreher M;Dreher M;vacio;Q3;vacio;vacio;1;
2008;Guerra S,Machado Filho CA;Guerra S;Machado Filho CA;vacio;vacio;vacio;1;
2001;Spraakman G;Spraakman G;vacio;Q4;vacio;vacio;1;
2010;Wahba H,Elsayed K;Wahba H;Elsayed K;vacio;vacio;vacio;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management;Compensation (personnel);1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Board of directors;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Compensation systems;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Empirical test;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Executive compensation;1;
2008;Nielsen S,Nielsen BB;Nielsen S;Nielsen BB;vacio;Compensation (personnel), Board of directors, Compensation systems, Empirical test, Executive compensation, Firm Performance, Top management teams, Upper echelons, Human resource management; Firm Performance;1;
