Item type|ENTRYTYPE|ID|Authors|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|11|Markarian G,Parbonetti A|Firm complexity and board of director composition|Corporate Governance: An International Review|Q1|99|2007|15|6|1224-1243|Blackwell Publishing Ltd||2007|||0964-8410|http://dx.doi.org/10.1111/j.1467-8683.2007.00643.x|10.1111/j.1467-8683.2007.00643.x|This paper examines the relationship between firm complexity and board of director composition. Utilising the board typology of Baysinger and Zardkoohi (1986), we classify board members either as insiders, business experts, support specialists, or community influentials, and examine board composition in relation to firm internal and external complexity. Internal complexity refers to the sophistication of internal work processes (proxied by firm R&D expenditures, and the amount of invested capital), while external complexity relates to the external competitive structure (proxied by the number of business and geographic segments, and industrial leadership). Utilising a random sample of 150 firms drawn from six industries over the 2003-2005 time period, and after classifying 4,408 directors to one of our board categories, multivariate results confirm conjectures that complexity is related to the specific capabilities that each board member brings to the firm. We find that externally complex firms substitute community influentials for insiders. Additionally, internally complex firms have lower levels of community influentials, which are substituted by insiders and support specialists. This study adds to a small but growing literature that examines the economic determinants of board structure (Boone et al., 2007; Coles et al., 2005; Gillan et al., 2003; Linck et al., 2005), by providing a unique lens in examining board characteristics that goes beyond the traditional insider/independent classification. © 2007 Blackwell Publishing Ltd.||cited By 55|Dipartimento di Scienze Economiche, via Del Santo 33, 35121 Padova, Italy; Instituto de Empresa, Business School, Madrid, Spain; University of Padova, Padova, Italy|English|
Journal Article|article|12|Yatim P|Board structures and the establishment of a risk management committee by Malaysian listed firms|Journal of Management and Governance|Q2|57|2010|14|1|17-36|Springer New York||2010|||1385-3457|http://dx.doi.org/10.1007/s10997-009-9089-6|10.1007/s10997-009-9089-6|The purpose of this study is to examine the association between the establishment of a risk management committee and board structures of Malaysian listed firms. The study predicts that more independent, expert, and diligent boards are likely to establish a stand-alone risk management committee. It employs a cross-sectional analysis of 690 firms listed on the Bursa Malaysia for the financial year ending in 2003. Multiple regression analysis is used to estimate the relationships proposed in the hypotheses. The study finds a strong support for an association between the establishment of a risk management committee and strong board structures. Specifically, the result shows that firms with higher proportions of non-executive directors on boards and firms that separate the positions of chief executive officers and board chairs are likely to set up a stand-alone risk management committee. Firms with greater board expertise and board diligence are also likely to establish a risk management committee. These findings suggest that stronger boards demonstrate their commitment to and awareness of improved internal control environment. Finally, the study also documents a positive and significant association between firm size, complexity of a firm's operations, and the use of Big Four audit firms with the establishment of a risk management committee. © Springer Science+Business Media, LLC 2009.||cited By 54|School of Business Management, Faculty of Economics and Business, Universiti Kebangsaan Malaysia, 43600 Bangi Selangor, Malaysia|English|
Journal Article|article|13|Cuadrado-Ballesteros B,Martínez-Ferrero J,García-Sánchez IM|Board Structure to Enhance Social Responsibility Development: A Qualitative Comparative Analysis of US Companies|Corporate Social Responsibility and Environmental Management|Q1|96|2017|24|6|524-542|John Wiley and Sons Ltd||2017|||1535-3958|http://dx.doi.org/10.1002/csr.1425|10.1002/csr.1425|This study adds clarity to inconclusive results in previous literature about the link between board characteristics and the level of social responsibility performance by using fuzzy set qualitative comparative analysis. Specifically, we propose a new holistic framework based on the complexity theory. From a sample of 471 non- financial companies from the USA for the period 2008–2010, our findings support the four tenets of complexity theory: equifinality, complexity, asymmetry, and causal asymmetry. More concretely, they suggest that CSR performance depends on a complex configuration of some board characteristics, such as size, independency, diversity and activity, and other corporate attributes (i.e., company size, leverage, and growth opportunities). These factors play a key role as the ingredients of the recipe and, in a proper combination, contribute to obtaining high levels of social responsibility performance. Copyright © 2017 John Wiley & Sons, Ltd and ERP Environment. Copyright © 2017 John Wiley & Sons, Ltd and ERP Environment||cited By 52|University of Salamanca, Administration and Business Economics, Multidisciplinary Institute for Enterprise (IME), Campus Unamuno, FES, Salamanca, 37007, Spain|English|
Journal Article|article|14|Ndofor HA,Wesley C,Priem RL|Providing CEOs With Opportunities to Cheat: The Effects of Complexity-Based Information Asymmetries on Financial Reporting Fraud|Journal of Management|Q1|261|2015|41|6|1774-1797|SAGE Publications Inc.||2015|||0149-2063|http://dx.doi.org/10.1177/0149206312471395|10.1177/0149206312471395|Opportunities for financial reporting fraud arise because of information asymmetries—often labeled “lack of transparency”—between top managers and their diverse shareholders. We evaluate the relative contributions of information asymmetries arising from industry-level and firm-level complexities to the likelihood of top managers committing financial reporting fraud. Using a sample of 453 matched pairs of firms that have and have not been identified as having committed financial reporting fraud, we found that information asymmetries arising from industry- and firm-level complexities increase the likelihood of financial fraud. Moreover, more CEO stock options increase the likelihood of fraud when industry complexity is high, while aggressive monitoring by the audit committee reduces the likelihood of reporting fraud when firm-level complexity is high. © 2013, © The Author(s) 2013.||cited By 51|Texas A&M University, United States; Indiana University, United States; Texas Christian University, United States; LUISS Guido Carli University, Italy|English|
Journal Article|article|15|Varghese J,Krogman NT,Beckley TM,Nadeau S|Critical analysis of the relationship between local ownership and community resiliency|Rural Sociology|Q1|76|2006|71|3|505-527|Rural Sociological Society||2006|||0036-0112|http://dx.doi.org/10.1526/003601106778070653|10.1526/003601106778070653|Collectively, current resource-development literature has given little attention to organizational features of ownership as important variables in community resilience. By drawing from six local buyout cases in Canada's forest sector, we reveal the complexity and numerous constraints on local ownership and expose a more nuanced context than most sociologists tend to consider. Our findings suggest that the meaning of local ownership and community resilience varies depending upon the composition (e.g., private vs. public; mill vs. forest license vs. coupled mill & forest license), type (social, cooperative, trust and/or direct-share ownership), extent of ownership (percentage of local versus extra-local shares), and the level of control (e.g., proportion of locally held seats on the Board of Directors) associated with ownership. Future research on local ownership should more carefully differentiate between the nature of local ownership and its associated outcomes. Copyright © 2006 by the Rural Sociological Society.|community organization; community resource management; community response; ownership; rural society, Canada; North America|cited By 42|Guelph Water Management Group, Department of Geography, University of Guelph, Guelph, ON, Canada; Department of Rural Economy, University of Alberta, 5-15 General Services Building, Edmonton, AB T6G 2H1, Canada; Faculty of Forestry and Environment, University of New Brunswick, Fredericton, NB, Canada; Natural Resources Canada, Atlantic Forestry Center, Canadian Forest Service, Canada|English|
Journal Article|article|16|de Andrés-Alonso P,Azofra-Palenzuela V,Romero-Merino ME|Determinants of nonprofit board size and composition: The case of Spanish foundations|Nonprofit and Voluntary Sector Quarterly|Q1|96|2009|38|5|784-809|SAGE Publications Inc.||2009|||0899-7640|http://dx.doi.org/10.1177/0899764008320501|10.1177/0899764008320501|Recently, many empirical studies have examined the determinants of corporate boards of directors. Using an agency theory framework, the authors explain how nonprofit boards are structured. Although nonprofits cannot disburse profits to their contributors, the role played by their boards of trustees in monitoring and advising managers is analogous to that of corporate boards of directors. Using a sample of Spanish foundations, the authors show that nonprofit board determinants, such as organizational complexity and financing structure, are similar in many ways to those of corporate boards. However, nonprofit age illustrates the different natures of these organizations and their voluntary boards. © 2009 SAGE Publications.||cited By 40|University of Valladolid, Spain; European University Miguel de Cervantes, Spain|English|
Journal Article|article|17|Johnson S,Schnatterly K,Bolton JF,Tuggle C|Antecedents of new director social capital|Journal of Management Studies|Q1|206|2011|48|8|1782-1803|||2011|||0022-2380|http://dx.doi.org/10.1111/j.1467-6486.2011.01020.x|10.1111/j.1467-6486.2011.01020.x|Prior research shows that firms benefit from the social capital of their boards of directors but has not explored the antecedents of new director social capital. We argue that firms can attract directors with social capital by offering more compensation. We also argue that more complex firms (firms with a greater scale and scope of operations) are more attractive to such directors because of the greater experience and exposure that such directorships provide. Similarly, we argue that firms with high- status directors on their current boards will be more attractive to directors with social capital. We analyse the social capital of new outside directors added to boards of semiconductor firms between 1993 and 2007. Surprisingly, we find no support for the hypothesis that higher compensation is associated with adding directors with high status or board ties. However, firm complexity is associated with the ability to add new directors who have social capital, and the status of current board members is associated with the ability to add new directors who also have high status. © 2011 The Authors. Journal of Management Studies © 2011 Blackwell Publishing Ltd and Society for the Advancement of Management Studies.||cited By 39|Oklahoma State University, United States; University of Missouri, United States; Southeast Missouri State University, United States|English|
Journal Article|article|18|Reeb D,Upadhyay A|Subordinate board structures|Journal of Corporate Finance|Q1|120|2010|16|4|469-486|||2010|||0929-1199|http://dx.doi.org/10.1016/j.jcorpfin.2010.04.005|10.1016/j.jcorpfin.2010.04.005|The board of directors is a flat governance structure where each director has an equal vote in determining the collective actions taken by the group. Yet, some boards choose to delegate authority for specific tasks to numerous committees, while others choose to create relatively few subcommittees of the board. We investigate the determinants of subordinate board structures, exploring both their benefits and costs. Using a sample of the S&P 1500 we find that subordinate board structures are positively related to board size and the proportion of outside directors, even after controlling firm characteristics such as complexity and ownership structure. Further tests indicate that these board structures can offset the negative associations that board size and the proportion of outsiders can have with firm performance. Yet, in firms with relatively small or insider oriented boards, where co- ordination problems among directors or social loafing may be less pronounced, we find that subordinate board structures are negatively related to firm performance. Categorizing committees as either monitoring or advisory, we find that both types of committees appear related to firm performance. Taken as whole, these results are consistent with the idea that subordinate board structures can be a costly remedy to alleviate problems that arise with larger, more outsider dominated boards. © 2010 Elsevier B.V.||cited By 39|Temple University, United States; University of Alaska Anchorage, United States|English|
Journal Article|article|19|Dwekat A,Seguí-Mas E,Tormo-Carbó G,Carmona P|Corporate Governance Configurations and Corporate Social Responsibility Disclosure: Qualitative Comparative Analysis of Audit Committee and Board characteristics|Corporate Social Responsibility and Environmental Management|Q1|96|2020|27|6|2879-2892|John Wiley and Sons Ltd||2020|||1535-3958|http://dx.doi.org/10.1002/csr.2009|10.1002/csr.2009|Drawing on the complexity theory and responding to the recent calls to use such creative methods that mix between a quantitative and qualitative approach. Therefore, this study fills the literature gap, adding novelties, showing evidence from the unexplored (or underexplored) European context and, consequently, shedding light to inconclusive results in previous research concerning the effect of audit committee (AC) and board characteristics on corporate social responsibility (CSR) disclosure by applying a novel research methodology: the fuzzy set qualitative comparative analysis. The data were collected from Eikon database for a sample of the top 69 non-financial European companies (based on market capitalisation) for the period 2016–2018. The study results support the equifinality and complexity tenets of complexity theory. It also suggests that CSR disclosure relies on a complex configuration of some AC attributes, for example, independence, financial expert member, chair independence, size and activity, and other board characteristics (independence, gender, size, activity, and Chief Executive Officer (CEO) duality). These characteristics play a leading part as a recipe ingredient and, in an appropriate combination, promote achieving high CSR disclosure levels. Our empirical results offer multidimensional and valuable insights for professionals, regulators, and policymakers in establishing and revising the guidelines regarding the AC and board of directors' composition. © 2020 ERP Environment and John Wiley & Sons Ltd.||cited By 37|Universitat Politècnica de València, València, Spain; Department of Accounting, An-Najah National University, Nablus, Palestine; CEGEA, Business Management Research Centre, Universitat Politècnica de València, València, Spain; Accounting Department, Universitat de València, València, Spain|English|
Journal Article|article|20|Luciano MM,Nahrgang JD,Shropshire C|Strategic leadership systems: Viewing top management teams and boards of directors from a multiteam systems perspective|Academy of Management Review|Q1|293|2020|45|3|675-701|Academy of Management||2020|||0363-7425|http://dx.doi.org/10.5465/AMR.2017.0485|10.5465/AMR.2017.0485|Top management teams (TMTs) and boards of directors (boards) face increasingly turbulent environments as they strategically lead firms toward superior firm performance. The dominant theoretical lens about these two groups is agency theory, which focuses on the need for independence. We suggest that the environment in which the TMT and board govern is broader than conceptualized by agency theory, and thus theories regarding strategic leadership also require expansion. Drawing from the multiteam systems literature and broader systems theory, we offer a new consideration of the TMT and board as part of a strategic-oriented multiteam system, which we refer to as a strategic leadership system. The core premise of our theorizing is that TMTs and boards that strongly emphasize attention to both working independently and interdependently enhance their group and shared task performance, and in turn, firm performance. We further nuance this theorizing by describing how external environmental characteristics (i.e., munificence, complexity, dynamism) strengthen or weaken the influence of attention to working independently or interdependently, thereby shifting the zones of system effectiveness. Based on this theorizing, we offer a 2 3 2 framework combined with practical recommendations for strategic leaders. Additional implications, limitations, and directions for future research are discussed. © 2020 Academy of Management Review.||cited By 33|Arizona State University, United States|English|
Journal Article|article|21|Ford-Eickhoff K,Plowman DA,McDaniel Jr RR|Hospital boards and hospital strategic focus: The impact of board involvement in strategic decision making|Health Care Management Review|Q1|63|2011|36|2|145-154|||2011|||0361-6274|http://dx.doi.org/10.1097/HMR.0b013e3182099f6e|10.1097/HMR.0b013e3182099f6e|"Background: Despite pressures to change the role of hospital boards, hospitals have made few changes in board composition or director selection criteria. Hospital boards have often continued to operate in their traditional roles as either ""monitors"" or ""advisors."" More attention to the direct involvement of hospital boards in the strategic decision-making process of the organizations they serve, the timing and circumstances under which board involvement occurs, and the board composition that enhances their abilities to participate fully is needed. Purposes: We investigated the relationship between broader expertise among hospital board members, board involvement in the stages of strategic decision making, and the hospital's strategic focus. Methodology/Approach: We surveyed top management team members of 72 nonacademic hospitals to explore the participation of critical stakeholder groups such as the board of directors in the strategic decision-making process. We used hierarchical regression analysis to explore our hypotheses that there is a relationship between both the nature and involvement of the board and the hospital's strategic orientation. Findings: Hospitals with broader expertise on their boards reported an external focus. For some of their externally- oriented goals, hospitals also reported that their boards were involved earlier in the stages of decision making. Practice Implications: In light of the complex and dynamic environment of hospitals today, those charged with developing hospital boards should match the variety in the external issues that the hospital faces with more variety in board makeup. By developing a board with greater breadth of expertise, the hospital responds to its complex environment by absorbing that complexity, enabling a greater potential for sensemaking and learning. Rather than acting only as monitors and advisors, boards impact their hospitals' strategic focus through their participation in the strategic decision-making process. Copyright © 2011 Wolters Kluwer Health | Lippincott Williams & Wilkins."|article; board of trustees; hospital management; information processing; organization; professional standard; United States, Data Collection; Decision Making, Organizational; Governing Board; Hospital Administration; Organizational Objectives; Professional Role; United States|cited By 32|College of Business Administration, University of Tennessee, Knoxville, United States; College of Business, University of Nebraska-Lincoln, United States; Health Care Management, McCombs School of Business, University of Texas at Austin, United States|English|
Journal Article|article|22|Brennan NM,Kirwan CE|Audit committees: Practices, practitioners and praxis of governance|Accounting, Auditing and Accountability Journal|Q1|112|2015|28|4|466-493|Emerald Group Publishing Ltd.||2015|||0951-3574|http://dx.doi.org/10.1108/AAAJ-01-2015-1925|10.1108/AAAJ-01-2015-1925|Purpose – The purpose of this paper is to review and critique prior research on audit committees using a practice-theory lens. Research on audit committees has followed the same trajectory as early research on boards of directors, which has been criticised for its singular theoretical perspectives and methodologies that do not capture the complexity of real-world experiences/behaviours. Design/methodology/approach – The authors devise an analytical framework based on practice theory to conduct the review. The authors examine what audit committees should do (i.e. best practice) vs what audit committees actually do (i.e. actual activities in practice – praxis). Attributes of audit committee members, and the relationship dynamics relevant to their role execution (i.e. practitioners), are considered. Findings – Research on boards has found that over-emphasis on agency theory’s monitoring role negatively impacts boards’ effectiveness. The authors invoke other theories in examining what audit committees do in practice. The authors characterise the role of audit committees as oversight not monitoring. The authors question whether, similar to auditing, audit committees are blamist tools or are genuinely orientated towards supporting improvements in organisational management systems. The authors unpack the ritualistic ceremonial behaviours and symbolic endeavours vs substantive engagement by audit committees. The analytical framework also considers the “guardianship circle” around audit committees in the form of the key practitioners and their relationships: audit committee members, auditors and managers. Originality/value – Drawing on the analytical framework, the authors provide directions for further opportunities for research of audit committees. © Emerald Group Publishing Limited.||cited By 31|Department of Accountancy, University College Dublin, Dublin, Ireland; School of Business, University College Dublin, Dublin, Ireland|English|
