Item type|Authors|quartil|Editors|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|Nwaiwu F,Duduci M,Chromjakova F,Otekhile CA|Q3||Industry 4.0 concepts within the czech sme manufacturing sector: An empirical assessment of critical success factors|Business: Theory and Practice|2020|21|1|58-70|VGTU||2020|||1648-0627|http://dx.doi.org/10.3846/btp.2020.10712|10.3846/btp.2020.10712|The paper analysed factors that has the most impact in influencing the achievement of a sustainable process management model in the implementation of Industry 4.0 concepts within the Czech SME manufacturing sector. Several factors were identified and their interactions with digital technologies within the production environments was analysed. These factors, from an organisational perspective were identified as critical to success in the quest to achieve Industry 4.0 compliance and digital transformation of the manufacturing operations of companies. They include: strategy, organisational fit, competitiveness, operations and human resources. A mixed methods approach was adopted for the research. It involved both the qualitative and quantitative methodological approaches. The qualitative aspect involved an extensive systematic review of relevant literature which was useful in developing the conceptual framework and identifying the relevant factors that enable the implementation of an efficient Industry 4.0 process management model in SMEs; the quantitative aspect involved the use of a survey questionnaire to collect data which was analysed using confirmatory factor analysis statistical approach to test the measures of the constructs in the proposed conceptual framework. The result from the statistical analysis shows the factors that in the conceptual model that were supported as being relevant in achieving an efficient process management model for successful implementation of Industry 4.0 concepts in Czech manufacturing SMEs. The research limitation is based on the fact that the SMEs covered in the quantitative aspect of the research are restricted to a particular geographical location – Czech Republic. It would be interesting to have similar studies conducted in other geographies for a comparative perspective. It contributes to the scientific and practical discourse on Industry 4.0 process management model implementation in SMEs by investigating the phenomenon through the production of credible scientific evidence. © 2020 The Author(s).||cited By 27|Dept of Industrial Engineering, Faculty of Management and Economics, Tomas Bata University, Zlin, Czech Republic|English|
Journal Article|Martínez-Martínez D,Madueño JH,Jorge ML,Sancho MP|Q1||The strategic nature of corporate social responsibility in SMEs: A multiple mediator analysis|Industrial Management and Data Systems|2017|117|1|2-31|Emerald Group Publishing Ltd.||2017|||0263-5577|http://dx.doi.org/10.1108/IMDS-07-2015-0315|10.1108/IMDS-07-2015-0315|Purpose - The purpose of this paper is to analyse empirically the corporate social responsibility (CSR) strategic effects on the competitive performance of small- and medium-sized enterprises (SMEs) by performing a multiple mediator analysis. Design/methodology/approach - The empirical research was conducted in Spanish SMEs. A questionnaire was distributed among managers of these companies. Thus, with a final sample of 481 cases and using consistent partial least squares structural equation modelling, direct and mediating effects were tested. In particular, relationships among corporate social performance (CSP) (exogenous variable), competitive performance (endogenous variable), relational marketing (mediating variable) and innovative capacity (mediating variable) were hypothesized. Moreover, a further analysis about the superior returns offered by socially responsible practices related to core business stakeholders was conducted. Findings - The results highlight a significant and positive effect that CSP has on competitive performance. Additionally, both mediating positive effects were supported and the firm size was checked as a relevant control variable which, as proxy for resources availability, affects all constructs used with the exception of relational marketing. Managers interested in a strategic approach to social responsibility should be aware that the investment in activities related to employees and customers leads to higher competitiveness. Research limitations/implications - The study was limited to SME in Spain. Moreover, information related to competitive performance was gathered from managers' own perceptions, considering the performance of their direct competitors as a reference level. Originality/value - To the authors knowledge, no research studies were found that empirically examined the business case in SMEs and employed a CSR approach based on stakeholders' perspective. Therefore, the main contribution of this research is to show how socially responsible management of SMEs leads to higher competitive performance both direct and indirectly, using two strategic variables suggested in literature on large corporations. Despite their resources limitations, this kind of organizations is in a favourable position to engage with different stakeholders and benefit from their relationships, especially with employees and customers. © Emerald Publishing Limited.|Commerce; Human resource management; Least squares approximations; Managers; Marketing, Business case; Corporate social responsibilities (CSR); Partial least square (PLS); Small and medium sized enterprise; Stakeholder theory; Structural equation modelling, Economic and social effects|cited By 26|Department of Finance and Accounting, University of Cádiz, Cádiz, Spain; Department of Business and Management, University of Cádiz, Cádiz, Spain|English|
Journal Article|Brown L,Murphy E,Wade V|Q1||Corporate elearning: Human resource development implications for large and small organizations|Human Resource Development International|2006|9|3|415-427|||2006|||1367-8868|http://dx.doi.org/10.1080/13678860600893607|10.1080/13678860600893607|This paper compares and contrasts the current attitudes towards, awareness of and take-up of eLearning in large and small organizations and outlines the implications for human resource development (HRD) professionals. An in-depth study was conducted in Ireland with a number of large multinational organizations and a number of small and medium-sized enterprises (SMEs) in the engineering, electronics, aerospace, pharmaceutical and medical device sectors. The study focused on awareness, perceptions, technology support infrastructure, current and planned involvement, most frequent and most preferred methods of delivery, benefits, barriers, the motivational factors and overall attitudes to eLearning. The comparison describes a number of similarities and a number of differences both within the large organization sector and within the SME sector and between the two sectors. Finally, the implications for HRD professionals are discussed. © 2006 Taylor & Francis Group, LLC.||cited By 26|University of Limerick, Ireland; Trinity College Dublin, Ireland|English|
Journal Article|Tam S,Gray DE|Q2||Organisational learning and the organisational life cycle: The differential aspects of an integrated relationship in SMEs|European Journal of Training and Development|2016|40|1|2-20|Emerald Group Publishing Ltd.||2016|||2046-9012|http://dx.doi.org/10.1108/EJTD-07-2015-0052|10.1108/EJTD-07-2015-0052|Purpose – The purpose of this study is to relate the practice of organisational learning in small- and medium-sized enterprises (SMEs) to the organisational life cycle (OLC), contextualising the differential aspects of an integrated relationship between them. Design/methodology/approach – It is a mixed-method study with two consecutive phases. In Phase I, 30 Hong Kong SMEs identified through theoretical sampling were classified into three life-cycle stages – inception, high growth and maturity. In Phase II, their employees’ learning practices (grouped by learning levels) were statistically compared using the analysis of variance and then followed up for confirmation with qualitative semi-structured interviews. Findings – This study uniquely suggests the nature of a relationship between SME organisational learning and the OLC. Empirical results show that three of the four learning levels (individual, group, organisational and inter-organisational) practised in SMEs are varied in importance between life-cycle stages. Research limitations/implications – Comparative studies are encouraged in other parts of the world to strengthen the findings – with either SMEs or large organisations. Practical implications – The study informs SME owner/managers about what is important for employee learning at different business stages so that appropriate learning strategies or human resource development policies can be formulated in a timely fashion to promote competitiveness. Originality/value – It is among the first studies to connect SME learning with organisational growth. The relationships found serve as a sound foundation for further empirical investigations. © 2016, Emerald Group Publishing Limited.||cited By 24|Fort Hays State University, Hays, KS, United States; University of Greenwich, London, United Kingdom|English|
Journal Article|Yang T,Xun J,He X|Q2||British SMEs’ e-commerce technological investments and firm performance: an RBV perspective|Technology Analysis and Strategic Management|2015|27|5|586-603|Routledge||2015|||0953-7325|http://dx.doi.org/10.1080/09537325.2015.1019453|10.1080/09537325.2015.1019453|Despite the heated debate on the Information Technology (IT) investment–performance paradox, the resource-based view (RBV) has received relatively little attention as an approach to explain such phenomena, particularly in the small and medium enterprise (SME) and e-commerce context. This study draws on the RBV perspective to empirically examine the association between SME e-commerce investments and firm performance. We collected firm-level data from 430 British SMEs across 16 industry sectors. Results demonstrate that RBV provides strong theoretical support, that is, business resources, human resources, and external resources (i.e. e-commerce readiness) strongly contribute to enhanced firm performance. The sophistication of SMEs' e-commerce websites contribute to firm performance, but those firms' capital investments in IT and e-commerce training per se are not significant performance drivers. Our findings suggest that UK SMEs can and do differentiate themselves on the basis of their e-commerce capability, which is created by the synergistic combination of e-commerce resources with other organisational resources and capabilities. © 2015, © 2015 Taylor & Francis.|competitiveness; electronic commerce; industrial competition; industrial performance; information and communication technology; investment; small and medium-sized enterprise, United Kingdom|cited By 23|School of Economics, Peking University, Haidian District, Beijing, 100871, China; Manchester Business School (Asia-based), China Centre, 1376 Nanjing West Road, Shanghai, 200040, China|English|
Journal Article|Mansion SE,Bausch A|Q1||Intangible assets and SMEs’ export behavior: a meta- analytical perspective|Small Business Economics|2020|55|3|727-760|Springer||2020|||0921-898X|http://dx.doi.org/10.1007/s11187-019-00182-5|10.1007/s11187-019-00182-5|Thanks to their dominant role in fostering socioeconomic prosperity, exporting small- and medium-sized enterprises (SMEs) are perceived to be a major societal asset. Coming out of the great financial crisis, initiatives to nurture their (export) competitiveness have been high on the political agenda. In this vein, a growing literature explores the pertinence of firm-specific factors for explaining differences in SMEs’ export behavior. However, the puzzle of how intangible, knowledge- based assets, such as human and relational capital, contribute to establishing a viable position in export markets remains. By synthesizing empirical evidence from 167 studies, this meta-analytic path analysis reveals significant differential direct and indirect effects of human and relational capital endowment on dimensions of export behavior. Concurrently, our analysis uncovered that positive influences of intangible assets are context- dependent. In fact, human resources appear to be particularly pertinent for exporting SMEs in developing economies. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.||cited By 22|Department of Economics and Business, Chair of Strategic and International Management, Justus- Liebig-University Giessen, Licher Strasse 62, Giessen, 35394, Germany|English|
Journal Article|Singh RK,Garg SK,Deshmukh SG|Q2||Competency and performance analysis of Indian SMEs and large organizations an exploratory study|Competitiveness Review|2008|18|4|308-321|Emerald Group Publishing Ltd.||2008|||2051-3143|http://dx.doi.org/10.1108/10595420810920798|10.1108/10595420810920798|Purpose – Globalization of markets and increasing expectations of customers have created a turbulent environment for Indian organizations. The purpose of this paper is to study the development of various competencies by small-, medium- and large-scale Indian organizations under various pressures and constraints. Design/methodology/approach – For collecting data, a questionnaire-based survey were conducted. Out of 241 responding organizations, 193 were small- to medium-sized enterprises (SMEs) and 48 were larger organizations. Statistical analysis of data acquired from the survey are done by reliability test, t-test and correlation analysis. Findings – Introduction of new technology and identification of market changes have emerged as most important competencies because they are significantly correlated with subjective performance, objective performance and overall competitiveness of organization. Levels of focus given on competencies development by large organizations differ significantly from SMEs. Research limitations/implications – Findings of the study imply that SMEs should be as proactive as large organizations in making changes in terms of various processes such as development of competencies, human resources, upgrading of technology and awareness about market changes. For validating these results, further case studies are recommended. Originality/value – This study will help organizations in shaping their competitive strategies for developing competencies as per the market needs. ©Emerald Group Publishing Limited.||cited By 22|Mechanical Engineering Department, Delhi College of Engineering, New Delhi, India; Mechanical Engineering Department, Indian Institute of Technology, New Delhi, India|English|
Journal Article|Laurinkevičiūtė A,Stasiškienė Ž|Q1||SMS for decision making of SMEs|Clean Technologies and Environmental Policy|2011|13|6|797-807|Springer Verlag||2011|||1618-954X|http://dx.doi.org/10.1007/s10098-011-0349-1|10.1007/s10098-011-0349-1|To pursue the high environmental performance, economic and social effectiveness of the companies, including small and medium enterprises (SMEs), is the key goal of the sustainable development concept. Sustainable development is based on preventive management principles, and their application in SMEs has become an important issue for enhancing competitiveness. Unfortunately, most of the sustainable development-related research is focused on large companies rather than SMEs, especially in the industrial sector. The importance of SMEs often remains unnoticed. Besides, SMEs themselves often have inadequate knowledge about their environmental and social impacts and management, and apply voluntary preventive measures less frequently than large companies. To make sustainable decisions and to improve the environmental performance, economic and social effectiveness of SMEs, an integrated sustainable management system (SMS) based on financial analysis is necessary, oriented to strategic sustainability goals, not requiring significant financial and human resources. Integration of sustainability management accounting and composite sustainable development index methodologies forms the basis of SMS for SMEs decision making. SMS was applied in three pilot SMEs (small-scale wood parquet, medium-scale wood pallets, medium-scale beverage producing companies). In this article, an extensive analysis of a small- scale wood parquet manufacturing company's case is presented. The application of SMS enabled to identify key sustainability problems and to find solutions to improve the companies' sustainability performance. SMS application resulted in reduced input materials consumption and the reduction of sustainability costs. © 2011 Springer-Verlag.|Decision making; Economic and social effects; Environmental impact; Environmental management; Industrial research; Planning, Environmental management accountings; Environmental performance; Management principles; Manufacturing companies; Small and medium enterprise; Sustainability managements; Sustainability performance; Sustainable management, Sustainable development|cited By 19|Institute of Environmental Engineering, Kaunas University of Technology, Teatro 8-16, Vilnius 03107, Lithuania; Institute of Environmental Engineering, Kaunas University of Technology, K. Donelaičio 20, Kaunas 44239, Lithuania|English|
Journal Article|Lal K|Q1||Globalisation and the adoption of ICTs in Nigerian SMEs|Science, Technology and Society|2007|12|2|217-244|Sage Publications India Pvt. Ltd||2007|||0971-7218|http://dx.doi.org/10.1177/097172180701200203|10.1177/097172180701200203|The study aims at investigating the factors that affected the degree of adoption of new technologies in Nigerian SMEs. New technologies are by and large dominated by ICTs. Data for the analysis come from sixty-seven SMEs located in Aba, Ibadan, Lagos and Nnewi. One of the major factors inhibiting ICT diffusion and intensive utilisation is poor physical infrastructure represented by adequate and uninterrupted electricity supply and communication connectivity infrastructure. Findings of multivariate analysis suggest that firm-level variables such as financial capacity and technological absorptive capacity influenced the intensity of the adoption of ICTs. The results also suggest that globalisation of the Nigerian economy also influenced the adoption of new technologies. The study concludes that SMEs need institutional support in terms of human resource development for the augmentation of their competitiveness in the domestic as well as international markets.|competitiveness; globalization; human resource; information and communication technology; institutional development; multivariate analysis; small and medium-sized enterprise; technology adoption; technology diffusion; technology transfer, Aba; Abia; Africa; Anambra; Ibadan; Lagos [Nigeria]; Nigeria; Nnewi; Oyo; Sub- Saharan Africa; West Africa|cited By 19|UNU, MERIT, Keizer Karelplein 19, 6211 TC Maastricht, Netherlands|English|
Journal Article|Al-Tal MJ,Emeagwali OL|Q2||Knowledge-based HR Practices and Innovation in SMEs|Organizacija|2019|52|1|6-21|Sciendo||2019|||1318-5454|http://dx.doi.org/10.2478/orga-2019-0002|10.2478/orga-2019-0002|Background and purpose: Recent reviews of the human resource management (HRM) literature continue to position knowledge management and intellectual capital as the key determinants for competitiveness, productiveness and organizational performance. This article explores the nexus between knowledge-based HRM practices, knowledge management capacity, intellectual capital, product and process innovation in small and medium-sized enterprises (SMEs). Design/Methodology/Approach: Data were gleaned from 250 registered SMEs in Jordan using a simple random sampling technique. A covariance structural equation modelling (CB-SEM) was deployed in testing the proposed research model. Results: The findings cast light on the positive influence of knowledge-based HRM practice of SMEs on SMEs knowledge management capacity, intellectual capital and, product and process innovation. Similarly, knowledge management capacity SMEs exerts positive impact on their intellectual capital and, product and process innovation. Intellectual capital also emerges as a strong predictor for SMEs product and process innovation. Finally, a serial indirect effect (mediation) of knowledge management capacity and intellectual capital on the relationship between knowledge-based HRM practice of SMEs and, product and process innovation were revealed. Conclusion: Knowledge-based HRM practices and innovation have received vast amount of research attention, yet there is a lack of understanding on the process by which the former leads to the latter. Drawing on knowledge-based view (KBV) theory, this study is among the first attempts to unveil the structural process between knowledge-based HRM practices and innovation through knowledge management capacity and intellectual capital. This study theoretically validated the KBV framework in a non-Western context and demonstrate the importance of knowledge-based HRM practices for SMEs innovativeness. The findings do not only provide useful insights for managers and scholars, but also serve as the building block for future research. © 2019 Mohammad Jaber Yousef Al-Tal et al.||cited By 16|Girne American University, Faculty of Economics and Business, Business Management Department, Via Mersin 10, North-Cyprus, Turkey|English|
